map_id,t1,t2,winner,map,date,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,acs_diff,kills_diff,kdr_diff,kadr_diff,kast_diff,rating_diff
146315,13905,2536,13905,4,2023-10-20,0.3248847926267281,0.2857142857142857,0.7678571428571429,-0.12142857142857144,-1.0,13.933333333333337,0.25944404846756974,0.14829192546583847,0.12014751552795033,-0.0013333333333332975,0.17533333333333345
119226,12185,12186,12186,0,2023-03-04,-0.25098039215686274,-0.050000000000000044,-0.08333333333333326,-0.25098039215686274,1.5,-12.400000000000006,-0.3125,-0.1805465191932335,-0.19160702667534157,-0.10599999999999998,-0.17800000000000016
122851,1791,9011,1791,5,2023-04-08,0.33333333333333337,0.045454545454545414,-0.25,0.3851351351351351,5.9,19.433333333333337,0.4231884057971014,0.2279130386556486,0.3112417503188951,0.08900000000000008,0.2250000000000001
155291,6127,1316,6127,0,2024-02-03,0.1659722222222222,0.038461538461538436,-0.09999999999999987,0.14031007751937974,-0.625,11.53333333333336,0.16843074091118293,0.08152958152958156,0.15635951350237054,0.08799999999999997,0.08358333333333334
122485,6387,12477,6387,5,2023-04-12,0.6837606837606839,-0.75,0.16666666666666663,1.6206896551724137,3.8333333333333335,44.30000000000001,0.9916666666666667,0.5061609343190828,0.611057537769206,0.16166666666666674,0.34150000000000014
122486,6387,12477,6387,7,2023-04-12,0.6837606837606839,-0.75,0.16666666666666663,1.6206896551724137,3.8333333333333335,44.30000000000001,0.9916666666666667,0.5061609343190828,0.611057537769206,0.16166666666666674,0.34150000000000014
117956,10597,3107,10597,6,2023-03-10,1.9405594405594406,0.0,0.0,0.3264705882352942,5.833333333333333,44.30000000000001,0.8918918918918921,0.5180627954903625,0.582676688083404,0.125,0.4644999999999999
117957,10597,3107,10597,4,2023-03-10,1.9405594405594406,0.0,0.0,0.3264705882352942,5.833333333333333,44.30000000000001,0.8918918918918921,0.5180627954903625,0.582676688083404,0.125,0.4644999999999999
169133,13112,15595,13112,9,2024-04-07,0.33566433566433573,0.17142857142857143,0.6666666666666667,0.6857142857142856,1.0,17.600000000000023,0.29166666666666696,0.17000294377391822,0.12363850456284964,-0.026000000000000023,0.137
143625,6538,8258,6538,8,2023-10-11,0.82,0.5209790209790209,2.430769230769231,0.2637195121951219,1.6904761904761905,33.71666666666667,0.6830759330759331,0.3703197197360305,0.6146254029958449,0.11455555555555552,0.30133333333333323
143626,6538,8258,6538,2,2023-10-11,2.57,1.6363636363636362,7.2,1.3512195121951218,-0.16666666666666674,34.04999999999998,0.9040616246498598,0.6558498896247241,0.7412803532008829,0.135,0.4139999999999999
119506,9913,12122,12122,7,2023-03-08,-4.102564102564102,-0.8,-5.5,-1.0666666666666669,-1.0,-62.400000000000006,-1.75,-0.9870740305522915,-1.2032902467685078,-0.264,-0.6839999999999999
152887,9762,7105,7105,9,2024-02-18,-0.8333333333333334,-0.39999999999999997,-11.333333333333334,-0.34096109839816935,1.0,-24.600000000000023,-0.5780730897009967,-0.3460227272727273,-0.6545454545454545,-0.09699999999999998,-0.25350000000000006
158395,8826,4173,8826,8,2024-02-17,-0.30769230769230765,-0.28787878787878785,-1.75,-0.4065934065934066,1.8333333333333333,19.599999999999994,0.48989898989899006,0.03734635991175539,0.01788528206744422,0.14800000000000002,-0.08649999999999991
158396,8826,4173,8826,6,2024-02-17,0.3276923076923077,-0.04278074866310161,-0.3214285714285714,0.3276923076923077,4.5,28.560000000000002,0.698919891989199,0.31651237584178815,0.43874269265623056,0.16160000000000008,0.14990000000000014
129268,10416,9508,9508,3,2023-05-10,-1.5743589743589745,-1.75,1.1666666666666667,-0.24444444444444446,0.0,-20.849999999999994,-0.5541490857946552,-0.4328644501278771,-0.6496163682864449,-0.09199999999999997,-0.12325000000000008
129269,10416,9508,9508,4,2023-05-10,0.16849816849816845,0.0,-0.5,-0.4111111111111112,1.0,21.94999999999999,0.4031158714703018,0.11701704093008447,0.19955406911928653,0.08199999999999996,0.07874999999999988
150982,8303,9916,8303,6,2023-11-21,0.07912087912087917,-0.15238095238095237,1.2000000000000002,0.4285714285714286,4.0,4.066666666666663,-0.0058651026392961825,0.05901277249591863,0.10290022087774897,0.014000000000000012,0.08166666666666655
151431,13368,13587,13368,4,2023-12-01,1.2762237762237763,0.3125,7.833333333333334,0.8285714285714285,2.857142857142857,61.32222222222225,1.3360389610389611,0.7242187711738082,1.1104154809334092,0.3087777777777778,0.6197777777777781
151432,13368,13587,13368,6,2023-12-01,1.2762237762237763,0.3125,7.833333333333334,0.8285714285714285,2.857142857142857,61.32222222222225,1.3360389610389611,0.7242187711738082,1.1104154809334092,0.3087777777777778,0.6197777777777781
162747,8380,7038,8380,6,2024-03-29,-0.2735042735042734,0.8846153846153846,-0.3999999999999999,-0.8253119429590017,-0.1,-31.933333333333337,-0.6792717086834736,-0.2766634522661523,-0.328254580520733,-0.10666666666666669,-0.17233333333333334
162748,8380,7038,7038,5,2024-03-29,0.31400966183574885,0.5161943319838056,5.0285714285714285,-0.22928075940124126,4.9,10.952380952380935,0.17066563467492246,0.0906967996740119,0.29903143904961915,0.07504761904761892,0.13180952380952393
162749,8380,7038,8380,0,2024-03-29,2.361111111111111,0.8846153846153846,-1.4,1.3393939393939394,0.9,41.866666666666646,0.7941176470588234,0.5728985001743984,1.2221834670387164,0.23133333333333328,0.40766666666666673
