match_id,t1,t2,date,0_in_pool,1_in_pool,2_in_pool,3_in_pool,4_in_pool,5_in_pool,6_in_pool,7_in_pool,8_in_pool,9_in_pool,team,action,map
297844,282,104,2024-02-10,0,1,0,0,0,0,0,0,0,1,0,remaining,1
181477,5366,8375,2023-05-26,1,1,0,1,1,0,1,1,1,0,5366,ban,6
181477,5366,8375,2023-05-26,1,1,0,1,1,0,0,1,1,0,8375,ban,1
181477,5366,8375,2023-05-26,1,0,0,1,1,0,0,1,1,0,5366,pick,4
181477,5366,8375,2023-05-26,1,0,0,1,0,0,0,1,1,0,8375,pick,0
181477,5366,8375,2023-05-26,0,0,0,1,0,0,0,1,1,0,5366,ban,8
181477,5366,8375,2023-05-26,0,0,0,1,0,0,0,1,0,0,8375,ban,3
181477,5366,8375,2023-05-26,0,0,0,0,0,0,0,1,0,0,0,remaining,7
313827,283,11490,2024-03-09,1,1,1,0,0,1,1,0,1,1,283,ban,5
313827,283,11490,2024-03-09,1,1,1,0,0,0,1,0,1,1,11490,ban,6
313827,283,11490,2024-03-09,1,1,1,0,0,0,0,0,1,1,283,pick,0
313827,283,11490,2024-03-09,0,1,1,0,0,0,0,0,1,1,11490,pick,1
313827,283,11490,2024-03-09,0,0,1,0,0,0,0,0,1,1,283,ban,9
313827,283,11490,2024-03-09,0,0,1,0,0,0,0,0,1,0,11490,ban,8
313827,283,11490,2024-03-09,0,0,1,0,0,0,0,0,0,0,0,remaining,2
179418,363,361,2023-03-16,1,0,0,1,1,1,1,1,1,0,363,ban,6
179418,363,361,2023-03-16,1,0,0,1,1,1,0,1,1,0,361,ban,8
179418,363,361,2023-03-16,1,0,0,1,1,1,0,1,0,0,363,pick,3
179418,363,361,2023-03-16,1,0,0,0,1,1,0,1,0,0,361,pick,5
179418,363,361,2023-03-16,1,0,0,0,1,0,0,1,0,0,363,ban,7
179418,363,361,2023-03-16,1,0,0,0,1,0,0,0,0,0,361,ban,0
179418,363,361,2023-03-16,0,0,0,0,1,0,0,0,0,0,0,remaining,4
235017,3531,5214,2023-07-01,1,1,0,1,1,0,1,1,1,0,3531,ban,0
235017,3531,5214,2023-07-01,0,1,0,1,1,0,1,1,1,0,5214,ban,7
235017,3531,5214,2023-07-01,0,1,0,1,1,0,1,0,1,0,3531,pick,6
235017,3531,5214,2023-07-01,0,1,0,1,1,0,0,0,1,0,5214,pick,1
235017,3531,5214,2023-07-01,0,0,0,1,1,0,0,0,1,0,3531,ban,3
235017,3531,5214,2023-07-01,0,0,0,0,1,0,0,0,1,0,5214,ban,4
235017,3531,5214,2023-07-01,0,0,0,0,0,0,0,0,1,0,0,remaining,8
170403,10400,11276,2023-02-26,1,0,0,1,1,1,1,1,1,0,10400,ban,7
170403,10400,11276,2023-02-26,1,0,0,1,1,1,1,0,1,0,11276,ban,3
170403,10400,11276,2023-02-26,1,0,0,0,1,1,1,0,1,0,10400,pick,6
170403,10400,11276,2023-02-26,1,0,0,0,1,1,0,0,1,0,11276,pick,4
170403,10400,11276,2023-02-26,1,0,0,0,0,1,0,0,1,0,10400,ban,5
170403,10400,11276,2023-02-26,1,0,0,0,0,0,0,0,1,0,11276,ban,8
