14722,mesos-millionaires,mesos millionaires
14159,wooks-academy,Wook's Academy
6779,team-demiral-esports,Team Demiral Esports,M28
14805,orgless,ORGLESS,LESS
7397,xerxia-esports,XERXIA Esports,XIA
10188,valiant,VALIANT,VLNT
14278,shopify-rebellion,Shopify Rebellion,SR
13847,sad-purple,SaD Purple
6985,qor,QoR,QOR
4396,regnum-carya-esports,Regnum Carya Esports,REG
4572,galatasaray-esports,Galatasaray Esports,GS
14444,the-great-gang,The great gang
9814,fuzos,FUZOS,FUZO
8924,ramboot-club,Ramboot Club,RBT
14448,tenjiku,Tenjiku
14479,sk-gaming,SK Gaming,SK
3351,laze,LaZe,LZE
7967,mandatory,Mandatory,MDR
11856,gng-esports,GnG Esports,GnG
5719,exalty,Exalty
15487,lootcifer,Lootcifer
14529,xperion-nxt,Xperion NXT,NXT
15121,fisher-falcons,Fisher Falcons
13557,team-playhard,Team PlayHard,PLD
4538,team-queso,Team Queso,TQ
2755,saw,SAW,SAW
11845,feel-the-wood,Feel the Wood
15300,exo-clan,EXO Clan,EXO
5038,yfp-gaming,YFP Gaming,YFP
6665,team-nkt,Team NKT,NKT
10448,winthrop-university,Winthrop University,WU
4050,full-sense,FULL SENSE,FS
12255,karmine-corp-gc,Karmine Corp GC,KC.GC
4611,team-hz,Team hz
6422,resonate,Resonate,RESO
10408,crit-esports,CRIT Esports,CRT
13390,nextstart-gaming,NextStart Gaming,NSG, 15076
3722,monsters-have-hearts,Monsters Have Hearts,M2H
11653,rock-bottom,Rock Bottom ,RB
14144,yordle-lovers,Yordle Lovers
4569,fraggerz,Fraggerz,FRG
14532,chipi-chipi-chapa-chapa-dubi-dubi-daba-daba-magica,CHIPI CHIPI CHAPA CHAPA DUBI DUBI DABA DABA MAGICA
8925,arf-team,ARF TEAM,ARF
11863,skulls-esports,Skulls Esports,SKUL
9650,landodgers,LANDODGERS
7269,fusion,FUSION,FSN
14752,mabuhay,MABUHAY,MBH
9438,vx300-gaming,VX300 Gaming,VX3
7031,naos,NAOS,NAOS
14533,silly-goobers,Silly Goobers
7682,sdobbies,Sdobbies
12075,top-esports,TOP Esports
13558,howl-esports,HOWL Esports,HOWL
12474,gonext-esports,GoNext Esports,GN
10431,underground-gaming,Underground Gaming,UG
6192,trident-esports,Trident Esports,TRIDENT
4094,six-karma,Six Karma,6K
7969,team-falcons,Team Falcons,FLC
14282,roo,ROO
13836,1millisecond,1Millisecond,1ms
14148,valee-thai-esports,Valee Thai Esports,VLTH
12679,apinaorkesteri,apinaorkesteri,APE
623,sharper-esport,Sharper Esport,SPE
3179,anti-eco-eco-club,Anti Eco Eco Club,AEEC
6456,flyquest-red,FlyQuest RED,FLY.R
11975,permitta-esports,Permitta eSports,PMT
7403,who-cars,who cars?,WHO
1001,team-heretics,Team Heretics,TH
6882,fokus,FOKUS,FKS
624,paper-rex,Paper Rex,PRX
7055,team-liquid-brazil,Team Liquid Brazil,TL
13509,mercury,Mercury
13363,mashallah-mundee,Mashallah Mundee
11274,vikings-fourteen,VIKINGS Fourteen,14VK
756,ehehxd,ehehxd,EHXD
13382,team-mysticx,Team MysticX,TMX
6530,g2-gozen,G2 Gozen,G2.G
14566,fou-clan,fOu Clan,FOU
14568,quartz,QuartZ,QZ
497,attack-all-around,Attack All Around,AAA
878,rex-regum-qeon,Rex Regum Qeon,RRQ
6149,case-esports,Case Esports,CASE
6826,undead-gaming-fem,Undead Gaming Fem,UBK
14196,apac-slayer,APAC Slayer,APAC
14819,carnival-gaming,Carnival Gaming,CG
14470,olimpo,OLIMPO,OLP
13516,legacy-gc,Legacy GC,LGCY
