12092,mix,MIX
7355,rd-e-sports,RD E-SPORTS
15604,homebois,HomeBois,HB
1485,aricat-esport-family,Aricat Esport Family,ARC
10598,utt-esports,UTT Esports,UTT
15488,kanka-aim,Kanka Aim
11201,version1,Version1,V1
6981,turgutlu-belediyesi-esports,Turgutlu Belediyesi Esports,TES
13594,bequiet,BeQuiet,BQ
15221,corn-dawgs,Corn Dawgs,CD
15495,ionized-esports,Ionized Esports
7539,dobeg,Dobeg,DBG
12104,ex-hehe,ex-HEHE
12854,simia-esports,SIMIA Esports
15197,ipgn,iPGN
12515,flymore,FLYMORE
13606,kokot,kokot
14423,last-dance,last dance
10762,intense-game,Intense Game,IG
8929,hungkuang-falcon,Hungkuang Falcon,HKUF
14647,saideira-esports,SAIDEIRA ESPORTS,SES
13233,karmas-fantasy-team,Karma's Fantasy Team
15298,lanchonete-do-gerso,lanchonete do gerso,LDG
3437,dewa-united-esports,Dewa United Esports,DEWA
15020,h-c-vi-n-96,Học Viện 96
13239,707,707
14438,0losestreak,0LoseStreak
14363,hsmix,HSMIX
14598,theneverlast-esports,TheNeverLast Esports
14711,geek-fam,Geek Fam,GEEK
12794,tamaria-altunga-esports,Tamaria Altunga Esports,TAE
14451,weneedsmoneyyyy,weneedsmoneyyyy
14538,kopfshootaz,KOPFSHOOTAZ
8264,nearest-airport,Nearest Airport,NA
10730,top-gun,TOP GUN,TOP
12696,vorious-team,VoriouS TEAM
13785,fokus-friends,FOKUS & Friends
14829,ryze-esports,RyZe Esports 
15016,t-n-d-esports,Tàn Dư Esports,TDE
11256,demury,DEMURY
10190,les-petits-bouffons,Les Petits Bouffons,LPB
10592,roa-esport,ROA Esport,ROA
15011,together-we-are-terrific,Together We Are Terrific,TWT
14795,anita-max-wynn,Anita Max Wynn
10639,sunxet-club-fem,SunXet Club Fem,SNX.F
13505,mbu-spartans,MBU Spartans,MOBAP
2112,x10-esports,X10 Esports,X10
14697,hgiya-confederate,HGIYA confederate
14417,rnkko-esports,RNKKO Esports
13968,unico,UNICO
5982,looters-club-esports,Looters Club Esports,LC
12418,never-give-up,Never Give Up,NGUP
15087,truly-humble-under-god,Truly Humble Under God
12417,cqex,CQEX
799,velocity-gaming,Velocity Gaming,VLTG
14540,m-nner-wie-wir,MÄNNER WIE WIR
14427,yara-mi-lala,yara mi lala
14328,wadi,Wadi
15537,country-side-hickory-smoked-barbeque-ranch,COUNTRY SIDE HICKORY SMOKED BARBEQUE RANCH
12892,all-aim,All Aim
11895,globant-emerald-team,Globant Emerald Team,GET
12375,looking-for-sponsors,Looking for Sponsors,LFS
11195,00nation,00Nation,00
10888,high-profile,High Profile,HP
15493,vanir-seid,Vanir Seid
14586,cga,CGA
13586,badua-lipa,Badua LIpa,BLI
15176,1st-megasaver,1st MegaSaver,1MS
14704,team-velocity,Team Velocity
14740,5-clown,5 Clown,CLWN
14775,paragon,Paragon
13425,grannys-knockers,Grannys Knockers,GK
13925,odd-plan,ODD PLAN
2369,entropy,Entropy,EYG
15050,no-org,No Org
15075,moroccan-united,Moroccan United
13832,salamaleico,SALAMALEICO,SLC
13643,project-hive,Project HIVE
13615,fathers-back,Father's Back,FB
15073,co-op-gg,CO-OP.gg,COOP
12792,tdk,TDK
13411,predator-x-gaming,Predator X Gaming
9412,shaolin,Shaolin
15064,kng-empire,KNG EMPIRE
2472,akuma-esports-black,Akuma Esports Black,AKM
12704,touch-some-grass,Touch Some Grass
14699,barackobamapizza,BarackObamaPizza
6085,3bl-esports,3BL Esports,3BL
14690,light-work,Light work
15207,in-a-call-for-work,in a call for work
14637,jyg,JYG
10804,unlp-esports,UNLP Esports
15521,noorg9,NoOrg9,NO9
12852,kindergarten-children,Kindergarten children
14392,mommy-gs,Mommy G's
13806,devilish-grin,DeviLish Grin,DLG
12107,illusive,Illusive
12378,boss-g-kdm,Boss G KDM,KDM
12409,gang-gang-gang,Gang Gang Gang
15260,edge-gaming,Edge Gaming 
13770,5stars-esport,5STARS Esport
14524,oasis-verde,Oasis Verde
13686,salseiro,SALSEIRO,SAL
14724,paw-pals,Paw Pals,PAW
10700,abaddon-abyss,Abaddon Abyss,ABA
13226,odd-1-out,Odd 1 OUT,O1O
12475,ucf-gold,UCF Gold,UCF.G
14649,the-last-dance,the last dance¹,TLD
14650,black-hole-sun,black hole sun,BHS
14480,uhka-esports,UHKA Esports,UHKA
12339,kingslayers,KingSlayers
13940,t-i-n-ng-tr,Tài Năng Trẻ
12645,tropinha-9-0,Tropinha 9.0
13994,putz-nerd-12345,putz nerd 12345,PTN
13754,team-nvus,Team NVus,NVS
12391,team-ogs,Team OGS,TOGS
15199,chromies-womies,Chromie's Womies
11571,gamecoach-academy,GameCoach Academy,GC.A
13784,rejects,Rejects
15143,nekoma-team,NEKOMA TEAM,NKM
14548,carecas-e-calvos,Carecas e Calvos,CEC
15467,ko3aku,KO3AKU
14701,velcora-chimera,Velcora Chimera
14242,indonesia-pacific,Indonesia Pacific
14331,second-change,Second Change
14604,van-dijk-fan-club,Van Dijk Fan Club,VD.FC
14412,hamburger-jungs,Hamburger Jungs
12297,enigma-vortex,ENIGMA VORTEX
14551,tropa-do-avan-o,Tropa do avanço,TDA
13980,of-uh-uh,of uh uh
15539,tootsie-pops,Tootsie Pop's
12126,the-squad,The Squad
12955,xtrem,XTREM
9042,teamorangegaming,TeamOrangeGaming,TOG
15000,awaken,AWAKEN
14623,faq,FAQ
13589,ghools-esports,Ghools Esports,GLS
13605,t-e-a-m,T.E.A.M
7413,firepower,FiRePOWER,FIRE
6397,five-ace-esports,Five Ace Esports,FA
13370,asmodeus-colosseum,Asmodeus Colosseum,ACE
15107,the-anime-squad,The Anime Squad
12397,no-no-no,No No No
11709,illicit,ILLICIT,IL
6793,jadeite,Jadeite,JDT
13745,mindcontrol,MINDCONTROL
12624,kpi-shine,KPI Shine,KPI.S
14153,spacegliders,SPACEGLIDERS
14531,swift-gaming,Swift Gaming
14271,first-class,First Class
11304,hero-zero-anubis,Hero Zero ANUBIS,HZE.A
12259,akumu,Akumu,AK
9071,evoplay,EVOPLAY
15524,gerson-lanches,Gerson Lanches,GER
7312,honey-badgers,HONEY BADGERS,HB
9212,team-revenge,Team Revenge,TR
11128,mcom-special-forces,MCOM Special Forces,MSF
13974,hatemania,hateMania
12261,inf-esports,INF Esports,INF
14705,divine-five,Divine Five
14837,sussy-players,sussy players
14993,luxoria,Luxoria
14768,mogo-esports,Mogo eSports
12688,zen-esports,Zen Esports,ZEN
11585,00nation-fem,00Nation Fem,00.Fem
13503,mugi,Mugi
14698,dreams-to-legends,Dreams To Legends,DTL
12771,team-resilience,Team Resilience
10580,boise-state-university,Boise State University,BSU
9966,vamonos,VAMONOS,VAM
9353,shopify-rebellion,Shopify Rebellion,SR
13531,dsyre-gc,DSYRE GC,DSY.GC
14492,bristol-bagres,bristol bagres
1558,john-howard,John Howard,JH
12006,wombo-combo,Wombo Combo
14151,onlinegods,onlineGODS
9683,hasbygang,HASBYGANG
15347,cant-help-you-with-that,Can't Help You With That
15470,fullfocusss,FullFocusss
13599,cicadas-gaming,Cicadas Gaming,CG
12517,lodi-dodi,Lodi Dodi
12670,expectasians,Expectasians
2814,bigetron-arctic,Bigetron Arctic,BTR
11593,xoxo-01,XOXO-01
13501,nuclear-gc,Nuclear GC,NC.GC
15285,renegadas,Renegadas
8237,rqs-esports,RQS Esports,RQS
13975,mental-hospital,Mental Hospital
11602,mad-lions,MAD Lions,MAD
14211,without-org, without org,WORG
13439,project-z,PROJECT Z,PROZ
12192,loud-gc,LOUD GC,LOUD.GC
11171,medusa,MEDUSA
362,rebirth-esports,Rebirth Esports,RBT
15232,culturized,Culturized
15295,xerecrazy,xerecrazy,XERE
13187,team-remah-roti,Team Remah Roti
8535,salt-n-pepper,Salt n Pepper,SnP
12010,bilibili-gaming,Bilibili Gaming,BLG
14758,dark-genesis,DARK GENESIS
10717,chicago-empyre,Chicago Empyre,EMP
14625,the-stronger,The Stronger
5601,nightblood-gaming,Nightblood Gaming,NBG
12944,trenbolone,trenbolone
7744,untapped,UNtapped
14803,knightsnotnoobz,KnightsNotNoobz
11277,kuzu-esports,Kuzu Esports,KUZU
8099,cnj-esports,CNJ Esports,CNJ
15518,usdojob,usdojob,UDJ
13176,revsol-esports,RevSol Esports,RS
15418,wild-ninjas,Wild Ninjas
13518,gods-plan,GOD'S PLAN
14938,warning,Warning!
14339,vision-esports,Vision Esports
11309,le-crapaud,Le Crapaud,LCR
685,hsdirr,HSDIRR,HSD
13057,valkyrie,Valkyrie
14511,mania,Mania
15015,kobiet,KOBIET,KOBI
15159,novita,NOVITA
14428,piyana-vishnya,Piyana Vishnya
14005,pundamonium,PUNDAMONIUM,PDM
9285,9z-team-gc,9z Team GC,9z.GC
3180,ghost-commandos,Ghost CommandoS,GCS
10359,ottawa-braves,Ottawa Braves,OU
9820,oxuji,Oxuji,OXJ
14036,plusvibe,plusvibe
14777,largados-e-baitados,Largados e Baitados,LEB
12990,tatzukigokill,TatzukiGoKill
15496,taperflex,TaperFlex
12969,drop-outs,Drop Outs
15226,overheat,Overheat
13169,triangle,triangle
13277,lemonade-stand,Lemonade Stand
13804,tyloo-gc,TYLOO GC,TYL.GC
15245,the-hideout,the hideout
14825,lucky-7,Lucky 7
10933,ultimate,ULTIMATE,ULT
13610,minions,MINIONS
13681,fisher-ultra,Fisher Ultra,FISH.U
11240,equizers,eQuizers,EQZ
14710,visionz,VisionZ,VZ
11999,capybara-huggers,Capybara Huggers
10213,bratan-mix,BRATAN MIX
11197,disguised,Disguised,DSG
13393,slaughtergang,Slaughtergang
12460,lyost,Lyost
15209,fishy-fraggers,FISHY FRAGGERS
13798,vasco-da-gama,VASCO DA GAMA
14761,alternate-realities,Alternate Realities,AR
14391,friendstolovers,FriendsToLovers
9904,scythe-of-seraph,Scythe Of Seraph
13868,dg,DG
14522,life-purpose,Life Purpose
14563,time-do-saruh-fregus,Time do Saruh Fregus,TDS
13871,calllamas,caLLLamas
13696,skorelobusiness,skorelobusiness,SKOR
14445,lph,LPH
14509,overheat,Overheat
15063,mga-tito-mo-to,Mga Tito Mo To
15451,nigeria-96,NIGERIA 96,N96
15014,snowfox-esports,SnowFox Esports
12689,universitario-esports,Universitario Esports,U
10147,gods-reign,Gods Reign,GDR
13721,sublime-team,SUBLIME TEAM,SUB
13052,point-of-authority-blossom,Point of Authority Blossom,PAB
10467,fisher-tea-party,Fisher Tea Party,FCTP
11890,smoke-troop,Smoke Troop
3490,lp33,LP33,LP33
13746,derreks-dawgs,Derrek's Dawgs,DD
548,wygers,Wygers,WYG
13240,cmon-bruh-cmon,cmon bruh cmon
14003,quickie-power,Quickie Power
13685,kannariopopcorn,KannarioPopcorn,KP
11772,hummer-esports,HUMMER Esports,HMMR
14371,19rr,-19RR
15301,the-barbie-girls,The Barbie Girls
13362,srn-pk,SRN PK,SRN
14712,loafing-cats,Loafing Cats
12965,oblivionxc,OblivionXC
14653,corinthians-elite-gaming,Corinthians Elite Gaming,CEG
9284,acend-rising,Acend Rising,ACE
14696,yifang-gang,YIFANG GANG
7655,agropesca-jacare,Agropesca Jacare
10533,northwood-university,Northwood University,NW
13803,agtang-bahog-singot,Agtang Bahog Singot,ABS
2354,optix,Optix,MOX
14481,vanir,Vanir,VNR
4239,bursaespor,BursaEspor
13978,ivy-league-gaming,Ivy League Gaming,IVY
11648,rose,ROSE
14132,garuda,GARUDA,GRD
13593,underground-academy,Underground Academy
12782,team-endavant,Team Endavant
13801,dreams-to-legends,Dreams To Legends,DTL
13716,wellington-rato,WELLINGTON RATO,WTR
11708,op-gg-sports,OP.GG SPORTS,OPGG
14449,sutlu-yumurta,sutlu yumurta
10866,narodni-garda,NARODNI GARDA,NG
14608,jai-jhakan,Jai Jhakan
12019,the-grid,The Grid,GRID
11072,enemi3s,ENEMI3S
14205,dieversity-esports,Dieversity Esports,DIE
8322,optix-fem,Optix Fem,MOX
12007,qor-gc,QoR GC,QoR.GC
14651,n-is-n-o-migo,NÓIS NÃO É MIGO,MIGO
10182,final-form,Final Form ,FFE
14652,os-pitbull-do-mangue,OS PITBULL DO MANGUE,PDM
15062,no-luck-pure-skill,NO LUCK PURE SKILL
15066,extinguish,EXTINGUISH
13189,nev,NEV
14106,thekak,TheKak
13054,savage,SAVAGE
14518,brx,brx
14041,carameloo,carameloo,CARA
15599,chingu,Chingu,CHI
10891,vapour-esports,Vapour Esports
14782,pump,pump,pump
13249,anani-sik,ANANI SIK
10479,fisher-navy,Fisher Navy,FCN
14576,reliance,ReliaNcE,RNE
294,crest-gaming-zst,CREST GAMING Zst,CGZ
13997,phineas-e-ferb,PHINEAS E FERB
4523,semxorah-gaming,semXorah Gaming,SXG
12553,lashatemicantar,Lashatemicantar
13713,o-projeto,O PROJETO,PRO
9679,wtp,WTP
14057,rtemis-team,Ártemis Team,ART
14437,hmm,Hmm
13782,uwu-slayer,UwU Slayer
12381,triads,Triads,TRI
12881,gaming-up,Gaming Up,GUP
14161,zekken-and-friends,zekken and friends
12438,ydz-blue,YDZ Blue,YDZ.B
13111,superseriousgaming,SuperSeriousGaming
14543,fofoletes,FOFOLETES,FOFO
14545,xaprala,xaprala,xap
10351,vipers-clan,Vipers Clan,VPRS
11180,tourna-tourna-lang,Tourna Tourna Lang,TTL
13665,clinically-insane,Clinically Insane
15211,prodigies,Prodigies
13627,mercury-pink,Mercury Pink
13494,berzerkers-night,Berzerkers Night,BZK.N
12948,onliners,ONLINERS
13342,scythe-nwj,SCYTHE NWJ,NWJ
9348,mad-science,Mad Science,MAD.SC
12803,purpose-gaming,Purpose Gaming
14602,return,ReturN
11311,mxb-xt-vietnam,MXB XT Vietnam,MXB.VN
13372,quiet-esports,Quiet eSports
14554,sen-sacy-e-amigos,sen sacy e amigos,SACY
9436,emasters,eMasters,EMS
14389,de-champ-esports,De Champ Esports
15579,final-form,Final Form
12652,timberknick,timberknick
13364,dupg-esports,Dupg Esports
15203,disorder,Disorder
11539,blater,Blater
14502,eternals,Eternals
15219,neural-esports,Neural Esports
13802,virtual-grounds-esports,Virtual Grounds Esports,VGE
8151,system-e-sports,SYSTEM e-Sports,SYS
9315,zeta-division-gc,ZETA DIVISION GC,ZETA.GC
12677,cba,CBA
14663,cookin-papas,Cookin Papas
14504,rey-esports,REY eSports,REY
14336,veers-kittens,Veer's Kittens
14826,ions-day-care,Ions Day Care
14199,bigg-motley,BIGG Motley,BIGG.M
8485,prime-5,prime 5,p5
13511,imperium-vancuverii,ImPerium Vancuverii
14488,arma-dominium,Arma Dominium
14213,new-generation,New GeneratioN,NGN
14455,purge,purge
13387,0-skill,0 skill
14983,we-live,We Live
13634,random-dogs,random dogs
15589,kimchii,KIMCHII
14387,cutiepies,Cutiepies
15204,just-anything,Just Anything
12950,ae5-youngstars,AE5 YOUNGSTARS
15213,peak-iron-2,Peak Iron 2
8470,victory,VICTORY,VIC
11835,fantasy-gaming,Fantasy Gaming,FSY
14002,project-x,Project X
15220,burnt-source,Burnt Source
14549,papo-de-agustinho,Papo de agustinho,PDA
14497,fellas-in-paris,Fellas in Paris
11876,sei-la-quem-e-amigos,sei la quem e amigos
14485,blandsaft,Blandsaft
13701,karma-esports,KARMA Esports
10646,gg-go-next,GG Go Next
4960,unjobbed,unjobbed
13527,cumberland-varsity,Cumberland Varsity,CU.V
1342,axsor,Axsor,AX
11870,kahood,Kahood,KAH
14560,lab-do-gigio,Lab do Gigio,LDG
13269,team-vanguard,Team Vanguard
13766,mlt-phasmos,MLT Phasmos
8928,ghetto-artist,Ghetto Artist,GA
11869,creeper-consumer,Creeper Consumer,CC
13614,striderz,STRIDERZ,SRZ
15214,korean-zebras,Korean Zebras,KZ
14327,war,WAR
15217,azadee,Azadee
13284,infinity-x,Infinity X,INF
13705,lajota-vinny,LAJOTA VINNY,LJV
14976,thanos-state-university,Thanos State University
14572,n1,N1
14655,orquestra-do-maestro,Orquestra do Maestro,ODM
9769,enro-griffins,EnRo Griffins,EnRo
12505,2strong4u,2strong4u
10229,mcast,MCAST
12668,moist-moguls-red,Moist Moguls RED,MxM.R
6998,mango,MANGO
12125,onliners,onliners
4837,shopify-rebellion-gc,Shopify Rebellion GC,SR.GC
13316,supernova-galaxy,Supernova Galaxy,SNG
2108,blue-bees-esp,BLUE BEES.ESP,BB
14561,playoffenjoyer,PLAYOFFENJOYER,OFF
13889,mirai,MIRAI,MIR
13724,monstros-fa,MONSTROS FA,MFA
14755,noobster-xeno,Noobster Xeno
12659,arranca-dream-v3,Arranca Dream v3
15170,akr-e-amigos, akr e amigos,AKR
14471,expect-the-unexpected,expect the unexpected
14747,ora-geter-lur,Ora Geter Lur
14258,tariks-allstars,Tarik's Allstars,TARIK
15175,cocacolazero,cocacolazero
12638,game-crashers,Game Crashers
14802,redsea-esport,Redsea Esport,RS
12476,mad-lions-laur,MAD Lions LAURË,MAD.L
6006,newstar,Newstar,N5R
14718,passion-project,Passion Project,PP
14330,pds-esports,PDS Esports,PDS
15017,cyberking-pse,Cyberking PSE
9054,auristralis,Auristralis
9430,anaadi-army,Anaadi Army,AA
13175,the-vicious,The Vicious,VCS
5233,sissi-state-punks,Sissi State Punks,SSP
12236,fokus-sakura,FOKUS Sakura,FKS.S
12851,giefkalash,giefKalash
13907,lobo-mouz,LOBO MOUZ ,LBM
13885,stylle,Stylle,STY
14645,dragon-warriors,Dragon Warriors,DW
2761,szk-esports,SZK Esports,SZK
14513,goodfornothing,GoodForNothing
4068,babybeast,BabyBeast
15007,team-ballistic,Team Ballistic
14760,supreme-sports,Supreme Sports
6993,dark-tempest,Dark Tempest
11951,team-karma,Team Karma,TK
12464,disguised-gc,Disguised GC,DSG
13345,notale-basileia,NoTale Basileia
14122,bubatzbuben,BubatzBuben,GER
13374,airavata-esports,AIRAVATA ESPORTS,AVT
14798,rox,ROX
12647,virtual-cowboys,Virtual Cowboys
13199,defiant,Defiant
14239,connext-roster-hunt,CONNEXT Roster Hunt
3347,angry-titans,Angry Titans,AT
14194,1715,1715
13924,vision-harutoman,Vision Harutoman
13818,stone-esports,Stone Esports
12699,altf4,Altf4
11692,milenut-hannie,milenut hannie
9361,harmony,Harmony,HMNY 
15594,boy-kissers,Boy Kissers
14446,prettymonkeys,PrettyMonkeys
13811,bankai,Bankai
14535,vanguards,Vanguards
13998,acqua-gaming,ACQUA GAMING
15172,diamondsdancing,diamondsdancing,DIAM
8818,instalock-x,Instalock X,INS
14702,bineddiekittens,BINEDDIEKITTENS
12346,sandkasse,Sandkasse
14515,team-prolific,Team Prolific
15067,adamant-celestials,Adamant Celestials
14514,jokers,JOKERS
10536,rochester-university-esports,Rochester University Esports
13251,ananasy,ANANASY
14326,barzah-esport,Barzah Esport
1837,attacking-soul-esports,Attacking Soul Esports,ASE
15489,athenas-wisdom,Athena's Wisdom
13970,kairos,Kairos
10369,argon-black,Argon Black
14975,meowcupcakeyum,MEOWCUPCAKEYUM
3653,ownage,ownage
2760,valkyrie,Valkyrie
11243,university-of-virginia,University of Virginia
14032,asians-and-stellar,asians and stellar
12966,team-exs,Team eXs,eXs
13608,guangdong-northern-tigers,Guangdong Northern Tigers
14322,top-gz,top gz,tgz
12129,faze-clan-gc,FaZe Clan GC,FaZe
7134,que-la-famille,Que La Famille,QLF
2670,ignite,Ignite
13813,wd40-peek,WD40 Peek
14111,achtung5,Achtung5
10109,lanpacan,LANPACAN,LPCN
14584,frozen-3,Frozen 3
14422,sin-prisa-gaming,Sin Prisa Gaming,SPG
14325,critics,Critics
15229,evil-genies,evil genies
15157,eco-quantum,ECO Quantum
12988,meowmeow,meowmeow
11024,currygold,CurryGold
10493,niner-esports,Niner Esports
10606,amoris-vega,AMORIS Vega,ASV
14357,neanlatiyonbolm,NEANLATIYONBOLM
5934,insurgent-esports,Insurgent Esports,IES
14216,tragiikz-tempest,TragiiKz Tempest
6727,misfits-black,Misfits Black,MSF
5455,lethal-esports,Lethal Esports,LES
13105,ruzsai-szpecnaz,Ruzsai Szpecnaz
13526,pug123,pug123
8870,hit-gaming-clan,HIT GAMING CLAN,HIT
14605,deathwish-esports,Deathwish eSports
12964,meow-gaming,Meow Gaming
11763,sky-empire,Sky Empire,SKYE
12414,super-kimchi-power,Super Kimchi Power
10324,saints-esports,Saints eSports
12832,tn1ght-clan,TN1GHT Clan,TNT
12763,xenon-esports,Xenon Esports
14252,mon-freros,Mon Freros
15215,unsw-roar,UNSW Roar
14575,phantom-gaming,Phantom Gaming,PTG
13157,albanian-eagle,Albanian Eagle
13103,lastflight,LastFlight
13781,the-furious-five,The Furious Five
14184,st-mob,ST Mob
10607,sparks,SPARKS,3S
12171,sapphire,Sapphire,SPH
10291,team-baobao,Team BAOBAO,bb
15158,buchclub,buchclub
14207,5buuggs,5Buuggs,5BUG
13890,zenix-e-sports,Zenix E-Sports,ZEX
14265,be-like-mike,be like mike
13597,brazah-esport,Brazah Esport
12420,4n-e-sport,4N E-Sport,4NE
15377,notilt,NOTILT
11258,grindmore-esports,Grindmore Esports,GM
15598,free-orbs,Free Orbs,FRO
14209,exodia2024,EXODIA2024,EXO
12098,antic-esports-academy,Antic Esports Academy
11527,big-hot-men,Big Hot Men
13124,starz,STARZ
14589,tsw,TSW
13747,young-nutters-club,Young Nutters Club,YNC
14562,fall-before-us,fall before us,FALL
14577,our-name-is,Our Name Is,ONI
1810,grow-up-esports,Grow uP eSports,uP
9296,last-gate,Last Gate,LGE
11502,handmade-potion,Handmade Potion,HP
7171,big-blue-charizard,Big Blue Charizard,BBC
13688,cash-cash-cash,CASH CASH CASH,CASH
15059,noxa-ares,NOXA Ares
13991,uruguai,uruguai,uru
6008,oddik-bright,ODDIK Bright,ODK
14454,oyoon,Oyoon
13672,torch,Torch
14426,extreme-esports,eXtreme Esports
13604,v,V
14940,jazz-team,Jazz Team
13148,scan-city,Scan City,SC
14804,wilbur-gaming,Wilbur Gaming
14314,nemapau,NemAPAU,PAU
14049,turuna-e-sports,Turuna E-Sports,TRS
15268,cherry-ladies,Cherry Ladies
14820,the-process,the process
15196,tyrants,Tyrants
12789,project-swede,Project Swede
15225,super-spike-bros,Super Spike Bros
12986,layer-esport,Layer Esport
12054,swans-esports,Swans Esports
14489,beserkrs,Beserkrs
14965,good-luck,good luck
8084,lone-way-e-sports,Lone Way E-SPORTS,LWE
13335,dtgirls,DTGirls,DT
13079,t2g-esports,T2G Esports,T2G
14491,overcooked,Overcooked
11496,alternate-attax-ruby,ALTERNATE aTTaX Ruby,aTTaX
5126,amazing,Amazing,AMZ
14431,zwala,zwala
13919,libertados,Libertados,LBT
14759,airstrikers,AIRSTRIKERS
11360,bing-chilling,BING CHILLING
15375,corinthians-1920-1080,Corinthians 1920:1080
14656,spot-gaming,SPOT GAMING,SPOT
14362,i2k-esports,i2K Esports
13040,krazy-gurlz,Krazy Gurlz,KRZ
8906,beyond-stratos-gaming,Beyond Stratos Gaming,BSG
15588,karasuno,Karasuno
12248,tiger-wong-esports,Tiger Wong Esports,TWE
13809,oxen-academy,OXEN Academy
6870,isosimo,ISOSIMO
14700,strawberry-mango-ice,Strawberry Mango Ice
8587,the-mad-men,The Mad Men,TMM
14009,solus-esports,Solus Esports
15041,leet-esport,Leet eSport
11154,to-je-jasny,to je jasny
14789,abyss,Abyss
9509,serpes-gaming,Serpes Gaming,SRPS
14383,noez-foxx,NOEZ FOXX,NFX
13468,supermassivebots,SUPERMASSIVEBOTS
13446,griff-diff,Griff Diff
15429,axkrum-gc,AXKRUM GC,AXK
14025,academic-weapons,academic weapons
12661,orgless-2-0,Orgless 2.0
9975,st-clair-saints,St. Clair Saints,SCC
14552,staff-tour-gaming,Staff Tour Gaming,STG
14553,rumble,Rumble,RUMB
2917,enigma-gaming,Enigma Gaming,ENGM
13771,dreamwave,DREAMWAVE
12052,gamingxd,GamingXD
14588,zippy-xp,Zippy Xp
9062,guppies,Guppies
13143,why-so-serious,Why So Serious
14555,x404,X404,X404
12787,fearferox,FearFerox
13609,ixo-esports,IXO Esports,IXO
14112,blok6,BLOK6
13059,zer0-guerriere,Zer0 Guerriere,Z0G
12212,choice-esport,Choice esport
14769,unknown-5,Unknown 5
14212,odiamos-l2,odiamos L2,OL2
13160,zthelock,ztheLOCK
12762,xlr8-esports,XLR8 Esports,XLR8
13616,les-sixz,Les Sixz,LSZ
13559,efler,Şefler
2554,world-game-star,World Game Star,WGS
12806,breakthru-academy,BreakThru Academy,BRKA
2532,louvre,Louvre,LVR
8622,goth-boy-clique,goth boy clique
1146,godlike-esports,GodLike Esports,GDL
7757,alliance-coven,Alliance Coven,ALL.C
10293,bikini-bottom-pratahouse,Bikini Bottom Pratahouse,BBP
14374,barrys-bodyshooters,Barry's Bodyshooters
9443,nativz,Nativz,Nativz
5413,uwu,UwU
14253,5m-esports,5M esports
15428,capevaras,Capevaras,CPV
15070,tropa-tropa-gang,Tropa Tropa Gang
12487,brexit-aim,BREXIT AIM,BRX
14456,forsaken,Forsaken
14842,evoza-gc,Evoza GC
11886,os-ponta-firme,os ponta firme
9048,nt4h-sunrise,NT4H Sunrise
14372,oot-esports,OOT Esports
4529,illuzion,IlluZion,IluZ
6798,reignite,REIGNITE,RIG
4782,cyber-wolves-esports,Cyber Wolves Esports,CWE
9078,cruzados-esports-fem,Cruzados Esports Fem,UC.Fem
14574,nuclear,Nuclear,NC
13422,saltire-sirens,Saltire Sirens
12142,capybara-gang,Capybara GanG,CAPY
14832,diversity,diversity
13682,fisher-white,Fisher White
14661,the-basement,the basement
14202,jatinangor,Jatinangor
13805,chosen-clique-gaming-gc,Chosen Clique Gaming GC,CCG.GC
13218,batatinhas-raivosas,batatinhas raivosas
13645,elogauner,Elogauner
12657,hackers,HACKERS
14505,rainys-kittens,Rainy's Kittens
12406,unison,Unison_
11986,tjd-esports-club,TJD Esports Club,TJD
15013,promise,Promise
14377,not-friends,Not Friends
14368,business-boys,Business Boys
7345,tremb4l4,tremb4l4,TRB
9824,oxyg3nious,Oxyg3niOus,O3O
15290,xavier-esports,Xavier Esports,XAV
15169,pelotao-dos-raul,PELOTAO DOS RAUL,PDR
4993,fw-esports,FW Esports,FWE
3545,clg-red,CLG Red,CLG
14493,5am,5AM
12681,h-alko-gaming,H.ALKO GAMING
12811,booskams,BooskaMS
13913,vetooor-e-amigos,VETOOOR E AMIGOS ,VET
10737,o-trem,O TREM,OTR
14528,404-multigaming-e-v,404 Multigaming e.V.
12815,grass-touchers,Grass Touchers
14214,tropa-do-m4dara,Tropa do m4dara,TDM
15086,6ix-shootas,6IX Shootas
13820,phantom-knights,Phantom Knights
15018,nctdk,NCTDK
12536,imperium-vancuverii-nilus,ImPerium Vancuverii Nilus,ImP
14812,team-vortex,TEAM VORTEX
14495,freebird,FreeBird
15005,end,END
14830,refugee-camp,Refugee Camp
14045,zikapangas,ziKapangas,ZIK
4356,cruzados-esports,Cruzados Esports,UC
14031,cappers,Cappers
14980,mine-over-matter,Mine Over Matter
12705,team-vikings,Team Vikings,VK
12325,5-angry-men,5 Angry Men
14793,322,322
6175,asteria-gaming,Asteria Gaming,AG
15228,ninjas-in-paris,Ninjas In Paris
12260,was-jetzt,WAS JETZT?
10505,ust-esports,UST Esports
14323,qq,qq
14824,boomertin,boomertin
13391,anexo-esports,ANEXO ESPORTS,ANX
13810,sdufens-social-club,Sdufens Social Club
14741,diamond-esports,Diamond Esports
13999,aplica-06-aplica,Aplica 06 Aplica,A06
8038,snhu-blue,SNHU Blue,SNHU
14494,anitax,Anitax
15248,justice-for-clear,justice for clear
14457,alex-schule,Alex Schule
8451,tempest-gaming,Tempest Gaming,TPG
14219,wasted-talent,WASTED TALENT
13178,silencio-esports,Silencio Esports
15055,kaizen,Kaizen
12131,ade-serein,ADE Serein
7412,akave-esports-gc,Akave Esports GC,AKV.GC
