match_id,t1,t2,date,winner,past_diff,odds,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,win%
349589,6392,5310,2024-06-24,True,-4.0,0.4446640316205533,-0.021143293837394217,0.010703195086605444,0.1150000000000091,-0.01459582641982271,0.2151989369832079,0.05392882469173177,-0.01645821755103838,0.5360185183554002
353181,11058,188,2024-06-24,True,-2.0,0.6277056277056277,-0.04634100457766349,-0.056847397914683295,-8.269999999999982,-0.17574123374587414,-0.07349914774508748,0.18283860743257474,-0.0986473121538366,0.5366710986584918
348750,3531,8049,2024-06-24,True,-8.0,0.4473886328725038,-0.06312475784579619,-0.022583301046106175,-10.609999999999985,-0.17887446726075185,-0.1499999999999999,0.10009201859744277,-0.08172207063149772,0.5890592147798976
314350,8185,878,2024-06-24,False,-1.0,0.6928388650560697,0.0449425287356322,-0.00545977011494253,6.230000000000018,0.042528735632183956,0.30781609195402293,-0.12715517241379315,0.05011485470512467,0.3766116605272033
314351,6199,14,2024-06-24,True,8.0,0.4335585585585585,0.06526632506475732,0.053474272399244405,10.190000000000055,0.12898299908378297,0.2677955365525355,-0.2154467406427094,0.09854963548894946,0.36493733946390783
360834,15120,1470,2024-06-24,True,7.0,0.5715965508230991,0.024944681903767085,0.015880760297412033,9.849999999999966,0.15421723175877178,-0.1260634130921785,-0.03233188109014451,0.06173175894399163,0.44037487222059346
348749,6235,7243,2024-06-24,False,-2.0,0.3919568270865676,-0.0375784004953027,0.01576049117032724,-7.30000000000004,0.029820452771272432,-0.19404021642574487,-0.04541172036932384,0.019792217920508115,0.5222314456799604
360838,9545,10431,2024-06-24,True,-5.0,0.7662947739283616,-0.03186079771174316,-0.008819323057365325,-5.69999999999996,-0.16311774988081984,0.07730812013348154,0.03495947878595285,-0.05742544858639831,0.5311689927286993
349588,13558,3478,2024-06-24,True,1.0,0.6196450428396574,-0.016586185177409174,-0.041626014252016064,3.1799999999999784,-0.04915340060021478,0.23938200096330786,-0.02060614294006502,-0.008024696125910946,0.4988652013082937
314349,278,5448,2024-06-23,True,-3.0,0.3555053074555618,-0.039372822299651555,-0.03513356562137049,-13.31000000000003,-0.2135307781649245,-0.19999999999999996,0.053484320557491305,-0.07090035697350261,0.5601759748981945
348737,12474,7243,2024-06-23,True,9.0,0.5927328843995511,0.11090026232070099,0.055858775370970504,24.25,0.37798738628118533,0.24774794887536977,-0.48830719428475744,0.2657035647279551,0.20015761552704514
349237,6882,5214,2024-06-23,True,-4.0,0.3206308296514482,-0.058077610606286356,0.013203086112493767,-3.420000000000016,-0.0756554446596156,-0.13022617806246584,0.1876520681265208,-0.08608125183915805,0.5470162708757066
348747,6191,9621,2024-06-23,False,-3.0,0.5872340425531914,-0.03814943011985056,-0.007389148376172716,-5.1200000000000045,-0.09329447743228547,-0.14616461156577376,0.034279198078706496,-0.035750843434168456,0.5526112449380889
360833,6159,1470,2024-06-23,False,-5.0,0.2944147355912062,-0.1090958616520174,-0.043821710215986076,-10.469999999999999,-0.29124562347610583,-0.3096751905075106,0.46823324630113117,-0.23298333073687494,0.7314123247132747
359611,12064,12010,2024-06-23,False,0.0,0.305019305019305,-0.02854477940270661,-0.1578947368421053,-6.5800000000000125,-0.1552481682886624,-0.09520792636784403,0.20782664296734277,-0.10269145055179885,0.5867292440106844
349264,7967,14318,2024-06-23,True,6.0,0.7604672681008559,0.04347697389842348,-0.05596239573281547,1.0800000000000125,0.04544835629332722,0.10054642220735621,0.02695406619819174,0.005471811734118481,0.4758629888663798
349236,8044,14478,2024-06-23,False,4.0,0.6668883715774305,0.02706814769145094,0.00987701078398151,6.849999999999966,0.14348007676932406,-0.04956195741887992,-0.3464911844552061,0.15061996166608083,0.3425263926411545
349587,4567,4686,2024-06-23,True,-7.0,0.3777746158224246,-0.020500804621198965,0.05059940347952807,-1.5000000000000568,-0.04867040933465416,0.19762754687508188,0.08739182169384563,-0.04692484435108524,0.5691594136840108
349586,4762,9077,2024-06-23,True,5.0,0.7552439580483356,0.05717133094695731,0.036121983039791306,4.299999999999983,0.14176395216400905,-0.059886511552228905,-0.21360437683045852,0.10700811637013719,0.33909521607699866
353179,2406,120,2024-06-23,True,-10.0,0.1610799043813219,-0.16976675173600803,-0.07718558964923733,-27.689999999999998,-0.5616653807347616,-0.13961065938631378,0.4381921775773039,-0.27775553690805055,0.7921439069958407
349263,11232,13599,2024-06-23,True,0.0,0.6698028673835126,0.0840311004784689,0.01690341462328976,10.759999999999991,0.1447589934432041,-0.009558302321460266,-0.2652954988481304,0.11906649097587507,0.2860706133817127
353180,6961,5248,2024-06-23,False,2.0,0.6601382488479263,-0.005194701290388959,-0.01636702364760606,-0.9299999999999784,0.017041363309064472,0.04245482495742503,-0.12538145908815546,0.03971167621776506,0.42230519209624684
360837,1458,10431,2024-06-23,False,3.0,0.6029504080351538,-0.0037719298245614263,-0.01379699248120303,-5.860000000000042,-0.08660401002506246,-0.03588345864661657,-0.041359649122806985,-0.01259203619964322,0.47458394834762585
314348,918,6387,2024-06-23,True,3.0,0.4437229437229437,0.027160493827160515,0.03456790123456788,5.980000000000018,0.10370370370370408,-0.014814814814814836,0.059259259259259345,0.014025544726550376,0.41932796072981793
349238,14529,8380,2024-06-23,False,-6.0,0.2982369742933122,-0.05268130745658839,0.009464820455069023,-11.639999999999986,-0.18677221654749765,-0.06782431052093973,0.2554392236976506,-0.11797576621525308,0.6329020197183705
