match_id,t1,t2,winner,date,0_wr_diff,1_wr_diff,2_wr_diff,3_wr_diff,4_wr_diff,5_wr_diff,6_wr_diff,7_wr_diff,8_wr_diff,9_wr_diff
202345,11002,7269,False,2023-05-10,-0.25,0.5,0,-0.33333333333333337,0.16666666666666663,-1.0,-1.0,0.75,-0.75,0
314622,188,2359,True,2024-04-06,0.5,-0.17142857142857143,-0.6666666666666667,0.09999999999999998,-0.2555555555555556,-0.5,0.20261437908496738,-0.12222222222222223,0.0,0.7142857142857143
193893,8099,11060,False,2023-04-11,0.0,0,0,0.0,0.5,0.0,0,-1.0,0,0
189031,11675,12380,True,2023-04-12,0.0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0
294076,8049,14429,True,2024-04-06,-0.28846153846153844,0.4285714285714286,0.06666666666666665,0.0,0.11666666666666659,0.75,0.20000000000000007,0.6666666666666666,-0.3714285714285714,0.75
314319,918,878,True,2024-04-21,-0.3333333333333333,0.0,-1.0,-0.3333333333333333,-0.3142857142857143,0.06666666666666665,-0.0357142857142857,0.17142857142857137,-0.09523809523809523,0.5
169012,11836,10725,False,2023-03-17,0,0,0,1.0,0.5,0,0,0,-0.5,0
189076,4762,6132,True,2023-04-10,-0.25,0,0,1.0,0.0,0.08333333333333331,0.0,-1.0,0.0,0
297052,14819,1033,False,2024-02-12,-0.5555555555555556,-0.5,-0.5,-0.5,-0.6875,0.4,-0.5625,-1.0,-0.5,-0.4166666666666667
282932,10725,11058,True,2023-11-03,0.2272727272727273,0.6000000000000001,0.0,0.0,0.39999999999999997,-0.16666666666666663,-0.14545454545454545,0.0,0.06923076923076932,0.5
318880,6132,4567,False,2024-03-29,-0.39338235294117646,0.0,0.0,-0.17857142857142855,-0.38333333333333336,-0.39999999999999997,-0.24305555555555558,0.42500000000000004,-0.010101010101010166,-0.23809523809523808
272937,8044,7038,True,2023-09-17,-0.41666666666666663,0.5,0,0.0,0.4571428571428571,0.6666666666666666,0.8,0.46666666666666673,-0.09999999999999998,0
178658,1110,8925,False,2023-03-07,-0.5,0,0,1.0,0.0,0.16666666666666663,1.0,0.0,0.0,0
314329,6387,8185,False,2024-04-29,0.015873015873015817,0.0,-0.3333333333333333,0.12121212121212122,0.4285714285714286,-0.06666666666666665,0.0,0.261904761904762,-0.09722222222222221,-1.0
193441,2988,2934,False,2023-04-19,0.19999999999999996,0,0,0.33333333333333337,0.3333333333333333,1.0,0.0,0.5,-0.25,0
300481,4094,11002,False,2024-03-08,0.1527777777777778,-0.3333333333333333,0.0,-0.19047619047619047,-0.22222222222222227,0.16666666666666669,-0.13636363636363635,0.275,0.5833333333333334,-1.0
296993,14467,7403,True,2024-03-02,1.0,0.0,1.0,-1.0,-0.6666666666666666,-0.4,0.75,-0.5,0.0,0.0
168051,1412,7312,False,2023-02-24,1.0,0,0,0,0,1.0,0,0.0,0,0
164057,6387,2532,True,2023-02-19,0.0,0,0,0.0,1.0,0,0,0,0,0
313814,6882,14479,False,2024-03-31,0.75,0.33333333333333337,0.8,0.8181818181818182,0.5454545454545454,-0.16666666666666669,0.3625,0.5,-0.5555555555555556,-1.0
184474,14,17,False,2023-04-16,1.0,0,0,-0.5,-0.5,0,0.0,-0.16666666666666669,0,0
189085,4572,5310,False,2023-04-30,0.8,0,0,-0.05555555555555558,-0.09999999999999998,0.5,0.0,0.6666666666666666,0.5,0
297866,14752,8925,False,2024-03-10,0.4285714285714286,0.09411764705882353,-0.5,-0.375,-0.7619047619047619,-0.16666666666666663,-0.1923076923076923,-0.2,0.0,0.3333333333333333
