match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,date
314641,1034,7386,True,0,6,5,1,8,2,9,2,0,-1,3,-3,0.9478885893980233,2024-04-23
99696,8127,188,True,1,8,2,3,5,0,4,2,1,1,8,0,0.7092198581560284,2022-05-22
49633,623,624,False,3,2,5,4,1,0,8,1,2,,-2,8,0.07596661556804629,2021-11-19
71620,8182,8075,True,3,0,5,2,1,8,4,2,1,,1,2,0.8333333333333334,2022-02-26
71625,8182,2542,True,8,3,2,5,4,0,1,2,0,,2,6,0.320040899795501,2022-03-02
184474,14,17,False,7,8,5,3,0,4,6,0,2,3,-3,1,0.3167614961290924,2023-04-16
359608,14137,1119,False,8,4,6,1,5,9,0,0,2,,-6,1,0.3565872227739159,2024-06-22
99069,7386,4894,True,0,3,2,8,4,1,5,2,1,,7,3,0.2597402597402597,2022-05-15
106450,7397,1110,True,2,3,1,8,0,5,4,2,0,,8,2,0.8333333333333334,2022-06-18
337408,120,6961,True,8,9,6,2,5,1,0,2,0,-2,3,-1,0.4787572780203785,2024-05-08
166330,14,6675,False,8,4,5,6,3,7,0,1,2,-1,2,1,0.40828402366863903,2023-01-14
89218,624,7040,True,0,3,8,2,5,1,4,2,0,,6,-1,0.9174311926605504,2022-05-14
78796,724,2355,False,5,3,2,0,1,4,8,0,2,2,6,2,0.3421052631578947,2022-03-27
67326,17,14,False,3,1,0,2,5,8,4,0,2,0,6,6,,2022-01-28
247095,2593,12010,True,3,1,7,0,4,6,8,2,0,,10,1,0.9524673439767779,2023-08-09
99593,4915,474,False,0,2,3,5,4,1,8,1,2,0,-4,1,0.2592592592592593,2022-06-03
237649,3531,12694,True,0,4,7,1,3,6,8,2,0,,7,4,0.6176605154796401,2023-07-13
279099,12010,12685,False,9,1,2,4,8,0,6,0,2,2,5,3,0.754088504088504,2023-10-24
121459,8926,2059,False,3,4,0,8,2,1,5,0,2,2,5,5,0.32885906040268453,2022-07-31
186411,1120,1211,True,0,3,5,4,8,7,6,2,0,2,4,7,0.8685516619040456,2023-03-23
106462,4330,6199,False,5,8,3,2,4,0,1,0,2,,7,6,0.31034482758620685,2022-06-20
184463,6199,624,True,7,0,5,6,4,3,8,2,1,-3,1,2,0.4168475900998697,2023-04-02
161211,120,1184,True,3,2,0,5,1,4,7,2,0,,-1,-4,0.8620689655172414,2022-12-09
161216,188,2355,True,3,7,2,5,1,4,0,2,0,2,3,-2,0.8849557522123894,2022-12-11
89228,624,8124,True,4,8,3,1,2,5,0,2,0,2,6,6,0.9615384615384615,2022-05-20
156689,4686,1184,False,5,2,3,4,7,1,0,0,2,0,3,3,,2022-11-23
186423,11328,4460,True,0,3,5,8,6,7,4,2,0,,0,4,0.881895881895882,2023-03-29
107435,533,120,True,4,8,1,3,0,5,2,2,0,-3,5,1,0.5714285714285714,2022-06-18
51282,198,4050,True,0,8,3,1,2,4,5,2,0,,7,7,0.87492391965916,2021-12-01
341816,2593,474,True,2,8,9,1,0,5,6,2,1,2,2,-2,0.7275132275132274,2024-05-08
186431,4462,731,True,0,7,3,8,6,4,5,2,0,2,2,-2,0.7751937984496123,2023-03-31
297405,8877,1184,True,2,8,0,5,6,1,9,2,1,-2,-2,4,0.36546398615364134,2024-02-25
76213,7397,2032,True,3,4,8,1,2,5,0,2,1,,9,1,0.5692599620493358,2022-03-17
108004,7269,2355,False,3,8,4,0,2,5,1,0,2,-2,6,8,0.19999999999999996,2022-06-24
89241,624,3351,False,4,3,1,2,5,0,8,1,2,2,10,9,0.8522895125553914,2022-05-28
153381,918,5455,True,5,0,2,4,1,7,3,2,0,,-1,-10,0.9523809523809523,2022-10-22
99596,397,1209,False,2,8,5,4,0,1,3,0,2,-2,-4,0,0.09090909090909094,2022-06-05
123331,5248,1034,False,3,0,4,2,5,1,8,0,2,-2,-4,2,0.45355191256830607,2022-08-07
69016,397,3531,True,1,2,3,5,4,8,0,2,1,,-2,1,0.3067484662576687,2022-03-13
286647,4330,474,False,1,9,2,4,6,8,0,0,2,,-3,-6,0.019513601845621453,2023-12-06
101885,8185,2559,True,5,8,0,2,1,3,4,2,0,,10,-3,0.9615384615384615,2022-06-13
184480,6199,278,True,5,8,6,7,0,4,3,2,0,,-4,-9,0.8536762569020633,2023-04-23
78792,2359,7269,True,5,4,8,0,2,3,1,2,0,,6,0,0.8333333333333334,2022-03-25
51292,682,2112,True,1,8,4,5,3,0,2,2,1,,0,0,0.793353323338331,2021-12-09
98610,2354,2355,False,5,8,2,3,4,0,1,0,2,-3,-2,4,0.05660377358490576,2022-06-05
314350,8185,878,False,1,0,5,6,9,8,4,0,2,1,0,1,0.6928388650560697,2024-06-24
76245,6387,7397,False,2,5,3,8,1,0,4,1,2,,-2,5,0.27007299270072993,2022-03-26
