map_id,t1,t2,winner,date,map,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff
38785,719,3942,True,2021-06-29,5,0.3704751131221719,0.3699095022624434,0.3171119133574005,0.3415775401069518,0.40135746606334843,-0.30757918552036206,0.24868976651763533
41857,1120,1837,True,2021-07-10,4,0.5433070866141733,0.5354330708661418,0.7398315282791816,0.7165354330708662,0.41889763779527556,0.6708661417322834,0.31220657276995306
41858,1120,1837,False,2021-07-10,2,0.5721040189125296,0.5153664302600472,0.7853429602888088,0.743176445304105,0.5286052009456265,0.6817966903073286,0.31862312444836716
41859,1120,1837,True,2021-07-10,5,0.532608695652174,0.5217391304347826,0.7985559566787003,0.7429183135704875,0.5782608695652174,0.7326086956521739,0.2964211851452207
78016,14,7810,True,2022-04-18,0,0.6,0.5739130434782609,0.7894978667541845,0.7673254281949935,0.5773913043478262,0.6278260869565218,0.35725677830940983
82755,8877,6996,True,2022-05-25,1,0.2262443438914027,-0.04751131221719451,-0.06209386281588454,-0.09224598930481277,0.15837104072398187,-0.07013574660633486,-0.0005293279524958552
50595,2032,6387,False,2021-10-08,1,-0.3770114942528736,-0.05210727969348661,-0.16548048822417064,-0.2102519447347033,-0.25839080459770114,0.2539463601532567,-0.29178412027249234
50596,2032,6387,True,2021-10-08,0,0.1203208556149733,0.06149732620320858,0.06161251504211792,0.10814022578728458,-0.2616755793226382,-0.06327985739750445,0.07111111111111111
53442,2032,6387,False,2021-10-08,4,-0.13612152298283686,-0.06825803906095873,-0.1179602888086643,-0.12057545269224106,-0.1526139277964095,0.08999802722430461,-0.09904416481451361
72225,6798,5448,False,2022-02-19,8,-0.5454545454545454,-0.41818181818181815,-0.7499398315282793,-0.7305785123966942,-0.530909090909091,-0.6836363636363636,-0.31237911025145065
72226,6798,5448,False,2022-02-19,5,-0.6226415094339622,-0.6415094339622641,-0.8036101083032491,-0.7544311034877073,-0.5207547169811321,-0.6150943396226415,-0.3585238891987358
69937,2304,1001,True,2022-02-15,1,0.06471886394166193,0.0710516215697562,0.03425992779783376,0.05975049865378014,0.05526770293609671,-0.059259259259259255,0.06081621654044084
65144,6387,7982,True,2022-02-11,4,0.5197132616487455,0.5089605734767025,0.7235212440988614,0.6953948082980341,0.5046594982078852,0.6931899641577062,0.29323744163454607
65145,6387,7982,True,2022-02-11,0,0.5518394648829431,0.5451505016722408,0.740746089049338,0.7147562582345192,0.6541806020066889,0.6709030100334449,0.31141424212211843
118902,9052,12064,False,2023-03-10,5,0.037931034482758585,-0.031034482758620696,0.07050025786487864,0.09132488679902472,-0.014310344827586174,0.005517241379310356,0.035733592735058994
118903,9052,12064,True,2023-03-10,4,-0.01812655307064248,0.012846112886048977,0.010926594464500719,0.03350128010671142,0.16427050053248138,0.014767483138090221,0.007840008802816895
118904,9052,12064,True,2023-03-10,8,-0.022286821705426285,0.017441860465116255,-0.04332129963898917,-0.042180526192154136,-0.13565891472868213,0.0025193798449612004,-0.01934807007270776
41141,4616,1558,True,2021-07-03,4,0.5486381322957199,0.4669260700389105,0.7646209386281588,0.7273316825846009,0.5494163424124514,0.688715953307393,0.30869714090053074
41142,4616,1558,True,2021-07-03,5,0.453125,0.515625,0.7549939831528278,0.6970880681818182,0.5125,0.75,0.27168560606060604
85192,8182,2554,True,2022-06-12,1,0.21833333333333338,0.09999999999999998,0.12003610108303239,0.1135858585858585,0.172,-0.14900000000000002,0.12851600294129029
85193,8182,2554,False,2022-06-12,8,-0.08736559139784944,-0.196236559139785,0.05463297232250308,0.03574046920821118,0.22150537634408604,-0.022311827956989293,0.022047450878004624
85194,8182,2554,False,2022-06-12,5,-0.004166666666666652,0.11666666666666664,0.022924187725631748,0.010669191919191925,0.09833333333333334,0.01916666666666673,-0.003953307657357386
36502,719,4836,True,2021-07-19,4,0.5,0.5,0.7416967509025272,0.6915824915824916,0.48,0.6955555555555556,0.29063800948784974
36503,719,4836,True,2021-07-19,1,0.5337423312883436,0.5398773006134969,0.7721505930892213,0.7286670384829894,0.5521472392638037,0.6822085889570552,0.3122138652714192
124184,12064,5461,False,2023-04-06,8,-0.005208333333333315,-0.17708333333333337,-0.0031287605294825784,0.010258838383838413,-0.016666666666666698,-0.023958333333333304,0.01295569835317533
124185,12064,5461,True,2023-04-06,5,0.25163398692810457,0.30065359477124187,0.08332129963898921,0.11843929490988317,0.10588235294117646,-0.18431372549019603,0.10257749912922326
124186,12064,5461,True,2023-04-06,0,0.24090909090909096,0.009090909090909094,0.13357400722021662,0.11460055096418728,0.16090909090909095,-0.1463636363636363,0.09907548339816225
147266,10725,11058,True,2023-11-03,4,0.07831578947368417,-0.010456140350877163,0.0339951865222623,0.01842530568846361,-0.010021052631578976,-0.06272280701754385,0.03489703460090128
147267,10725,11058,True,2023-11-03,1,0.02525879917184265,-0.06583850931677016,-0.0430324909747292,-0.0308300395256917,-0.03461697722567285,-0.024099378881987564,-0.004191088422512134
75279,14,4346,True,2022-03-22,4,0.12205375107789596,0.10020839321644154,0.053417569193742534,0.04132315538251148,0.05964357574015526,-0.13223627479160677,0.07564506291438859
75280,14,4346,False,2022-03-22,5,0.005291005291005235,-0.1243386243386243,-0.02996389891696745,-0.047418630751964036,-0.11005291005291004,-0.01693121693121693,-0.012359412477645902
75281,14,4346,True,2022-03-22,2,0.05913066179349957,-0.007962406996475657,-0.00027075812274364127,0.012469691036457797,-0.04934081712570162,-0.027855371361441072,0.0171897072642033
