match_id,t1,t2,date,map,winner,played,net_h2h,past_diff,odds,avg_win%,avg_pick%,avg_ban%,avg_play%
49486,1034,4940,2021-11-14,5,False,True,0.0,3,0.6178816816117386,0.34375,0.0,0.0,0.0
49486,1034,4940,2021-11-14,8,False,False,0.0,3,0.6178816816117386,0.21428571428571427,0.0,0.0,0.0
49486,1034,4940,2021-11-14,0,False,True,0.0,3,0.6178816816117386,0.5147058823529411,0.0,0.0,0.0
49631,1919,6387,2021-11-18,1,False,False,-2.0,0,0.3610158419075617,0.7,0.0,0.0,0.0
49631,1919,6387,2021-11-18,8,False,False,-2.0,0,0.3610158419075617,0.875,0.0,0.0,0.0
49631,1919,6387,2021-11-18,2,False,False,-2.0,0,0.3610158419075617,0.3333333333333333,0.0,0.0,0.0
49631,1919,6387,2021-11-18,0,False,True,-2.0,0,0.3610158419075617,0.7222222222222222,0.0,0.0,0.0
49631,1919,6387,2021-11-18,5,False,False,-2.0,0,0.3610158419075617,1.0,0.0,0.0,0.0
49631,1919,6387,2021-11-18,4,False,True,-2.0,0,0.3610158419075617,0.5,0.0,0.0,0.0
49633,623,624,2021-11-19,4,False,False,0.0,-10,0.0759666155680462,0.5734265734265734,0.0,0.0,0.0
49633,623,624,2021-11-19,2,False,False,0.0,-10,0.0759666155680462,0.7916666666666667,0.0,0.0,0.0
49633,623,624,2021-11-19,1,False,True,0.0,-10,0.0759666155680462,0.525,0.0,0.0,0.0
49633,623,624,2021-11-19,8,False,True,0.0,-10,0.0759666155680462,0.7,0.0,0.0,0.0
49633,623,624,2021-11-19,5,False,False,0.0,-10,0.0759666155680462,0.7535714285714286,0.0,0.0,0.0
49633,623,624,2021-11-19,0,False,True,0.0,-10,0.0759666155680462,0.575,0.0,0.0,0.0
49634,4150,6387,2021-11-19,8,True,True,-2.0,-4,0.6172839506172839,0.625,0.0,0.0,0.0
49634,4150,6387,2021-11-19,0,True,True,-2.0,-4,0.6172839506172839,0.6833333333333333,0.5,0.5,0.0
49634,4150,6387,2021-11-19,3,True,False,-2.0,-4,0.6172839506172839,0.0,0.0,0.5,0.0
49634,4150,6387,2021-11-19,4,True,True,-2.0,-4,0.6172839506172839,0.5476190476190476,0.0,0.5,0.0
49634,4150,6387,2021-11-19,5,True,False,-2.0,-4,0.6172839506172839,0.5,0.0,0.0,0.5
49634,4150,6387,2021-11-19,1,True,False,-2.0,-4,0.6172839506172839,0.7,0.0,0.0,0.0
49635,466,624,2021-11-19,2,True,False,2.0,-7,0.2793296089385474,0.5916666666666667,0.0,0.0,0.0
49635,466,624,2021-11-19,0,True,True,2.0,-7,0.2793296089385474,0.6083333333333334,0.0,0.5,0.0
49635,466,624,2021-11-19,5,True,True,2.0,-7,0.2793296089385474,0.6166666666666667,0.0,0.0,0.5
49635,466,624,2021-11-19,8,True,False,2.0,-7,0.2793296089385474,0.6277777777777778,0.0,0.0,0.0
49635,466,624,2021-11-19,1,True,True,2.0,-7,0.2793296089385474,0.6,0.5,0.5,0.0
49635,466,624,2021-11-19,4,True,False,2.0,-7,0.2793296089385474,0.6356275303643725,0.0,0.5,0.0
50145,5391,4616,2021-11-19,3,False,True,-1.0,5,0.3901532054142496,0.3333333333333333,0.0,0.25,0.0
50145,5391,4616,2021-11-19,0,False,False,-1.0,5,0.3901532054142496,0.5333333333333333,0.125,0.5,0.0
50145,5391,4616,2021-11-19,1,False,False,-1.0,5,0.3901532054142496,0.475,0.0,0.125,0.25
50145,5391,4616,2021-11-19,8,False,False,-1.0,5,0.3901532054142496,0.7857142857142857,0.0,0.0,0.0
50145,5391,4616,2021-11-19,4,False,False,-1.0,5,0.3901532054142496,0.75,0.125,0.125,0.0
50145,5391,4616,2021-11-19,2,False,True,-1.0,5,0.3901532054142496,0.7083333333333333,0.125,0.25,0.25
50145,5391,4616,2021-11-19,5,False,True,-1.0,5,0.3901532054142496,0.41666666666666663,0.125,0.25,0.125
50147,4616,6312,2021-11-20,4,True,True,-1.0,-1,0.3636363636363636,0.5,0.1,0.6,0.1
50147,4616,6312,2021-11-20,0,True,True,-1.0,-1,0.3636363636363636,0.2,0.1,0.9,0.1
50147,4616,6312,2021-11-20,5,True,True,-1.0,-1,0.3636363636363636,0.1875,0.2,0.3,0.1
50147,4616,6312,2021-11-20,2,True,False,-1.0,-1,0.3636363636363636,0.75,0.6,0.8,0.2
50147,4616,6312,2021-11-20,3,True,False,-1.0,-1,0.3636363636363636,0.25,0.0,0.3,0.5
50147,4616,6312,2021-11-20,1,True,False,-1.0,-1,0.3636363636363636,0.225,0.0,0.1,0.7
50147,4616,6312,2021-11-20,8,True,False,-1.0,-1,0.3636363636363636,0.5,0.0,0.0,0.0
50800,10094,4915,2021-11-21,1,False,False,0.0,1,,0.75,0.0,0.16666666666666666,0.0
50800,10094,4915,2021-11-21,5,False,True,0.0,1,,0.41666666666666663,0.0,0.16666666666666666,0.3333333333333333
50800,10094,4915,2021-11-21,8,False,False,0.0,1,,0.6666666666666666,0.0,0.0,0.0
50800,10094,4915,2021-11-21,0,False,False,0.0,1,,0.16666666666666666,0.16666666666666666,0.5,0.0
50800,10094,4915,2021-11-21,3,False,True,0.0,1,,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666
50800,10094,4915,2021-11-21,2,False,True,0.0,1,,0.8571428571428572,0.16666666666666666,0.16666666666666666,0.0
50800,10094,4915,2021-11-21,4,False,False,0.0,1,,0.375,0.16666666666666666,0.16666666666666666,0.16666666666666666
51266,3531,4894,2021-12-05,4,True,False,0.0,3,0.8698283034566221,0.575,0.0,0.0,0.25
51266,3531,4894,2021-12-05,0,True,False,0.0,3,0.8698283034566221,0.25,0.0,0.5,0.0
51266,3531,4894,2021-12-05,2,True,True,0.0,3,0.8698283034566221,0.6388888888888888,0.0,0.0,0.25
51266,3531,4894,2021-12-05,8,True,False,0.0,3,0.8698283034566221,0.8333333333333333,0.0,0.0,0.0
51266,3531,4894,2021-12-05,3,True,False,0.0,3,0.8698283034566221,0.0,0.25,0.25,0.25
51266,3531,4894,2021-12-05,1,True,True,0.0,3,0.8698283034566221,0.525,0.25,0.25,0.0
51266,3531,4894,2021-12-05,5,True,True,0.0,3,0.8698283034566221,0.4901960784313726,0.0,0.5,0.0
51267,427,2112,2021-12-03,5,True,False,0.0,6,0.9662061239731142,0.6333333333333333,0.0,0.0,0.0
51267,427,2112,2021-12-03,2,True,True,0.0,6,0.9662061239731142,0.5333333333333333,0.0,0.0,0.0
51267,427,2112,2021-12-03,4,True,True,0.0,6,0.9662061239731142,0.55625,0.0,0.0,0.0
51267,427,2112,2021-12-03,8,True,False,0.0,6,0.9662061239731142,0.5982142857142857,0.0,0.0,0.0
51267,427,2112,2021-12-03,1,True,False,0.0,6,0.9662061239731142,0.625,0.0,0.0,0.0
51267,427,2112,2021-12-03,0,True,True,0.0,6,0.9662061239731142,0.70625,0.0,0.0,0.0
51268,3531,427,2021-12-06,0,True,True,0.0,1,0.3824217607487569,0.55,0.5,0.8333333333333333,0.16666666666666666
51268,3531,427,2021-12-06,2,True,False,0.0,1,0.3824217607487569,0.775,0.0,0.6666666666666666,0.16666666666666666
51268,3531,427,2021-12-06,5,True,False,0.0,1,0.3824217607487569,0.6388888888888888,0.16666666666666666,0.5,0.5
51268,3531,427,2021-12-06,3,True,False,0.0,1,0.3824217607487569,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333333
51268,3531,427,2021-12-06,8,True,True,0.0,1,0.3824217607487569,0.6458333333333333,0.0,0.0,0.0
51268,3531,427,2021-12-06,1,True,True,0.0,1,0.3824217607487569,0.775,0.16666666666666666,0.3333333333333333,0.0
51268,3531,427,2021-12-06,4,True,False,0.0,1,0.3824217607487569,0.6000000000000001,0.0,0.5,0.16666666666666666
51269,4894,2112,2021-12-06,2,False,True,0.0,3,0.7903416508067671,0.5833333333333333,0.5,1.0,0.0
51269,4894,2112,2021-12-06,4,False,True,0.0,3,0.7903416508067671,0.53125,0.0,0.5,0.5
51269,4894,2112,2021-12-06,1,False,False,0.0,3,0.7903416508067671,0.45,0.5,0.5,0.5
51269,4894,2112,2021-12-06,8,False,False,0.0,3,0.7903416508067671,0.7857142857142857,0.0,0.0,0.0
51269,4894,2112,2021-12-06,5,False,True,0.0,3,0.7903416508067671,0.425,0.0,0.5,0.0
51269,4894,2112,2021-12-06,0,False,False,0.0,3,0.7903416508067671,0.4117647058823529,0.0,0.5,0.0
51270,427,2112,2021-12-07,1,False,False,2.0,4,0.7580254425401977,0.6323529411764706,0.25,0.25,0.5
51270,427,2112,2021-12-07,2,False,False,2.0,4,0.7580254425401977,0.625,0.25,0.75,0.0
51270,427,2112,2021-12-07,8,False,True,2.0,4,0.7580254425401977,0.5982142857142857,0.0,0.0,0.0
51270,427,2112,2021-12-07,5,False,True,2.0,4,0.7580254425401977,0.606060606060606,0.0,0.25,0.5
51270,427,2112,2021-12-07,0,False,False,2.0,4,0.7580254425401977,0.7117647058823529,0.25,0.75,0.0
51270,427,2112,2021-12-07,3,False,False,2.0,4,0.7580254425401977,0.0,0.0,0.0,0.25
51270,427,2112,2021-12-07,4,False,True,2.0,4,0.7580254425401977,0.5397058823529413,0.25,0.75,0.25
51272,2355,474,2021-12-02,0,False,True,-2.0,-6,0.0778514363420024,0.7,0.0,0.0,0.0
