map_id,t1,t2,winner,map,date,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff
27427,3747,628,628,4,2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27428,3747,628,628,1,2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33676,367,2359,367,4,2021-05-14,-0.07884615384615384,-0.044230769230769185,-0.051263537906137246,-0.07689393939393947,0.003076923076923066,0.03692307692307688,-0.043640161780405695,-0.03720098499061915
121394,731,1211,1211,0,2023-03-25,0.017641499527459747,-0.017851517378977277,0.0031768953068592918,0.012223993584909292,0.11765200042003573,0.013021106794077485,-0.0014221044537118725,0.016822066139493285
121395,731,1211,1211,7,2023-03-25,-0.12625368731563424,-0.10037926675094816,-0.04895306859205777,-0.05664227611130258,-0.058963337547408304,0.08964180362410454,-0.06597005941127833,-0.07518226679559172
99986,3527,2593,2593,1,2022-10-19,-0.6020408163265306,-0.5612244897959183,-0.767653429602888,-0.7396413110698826,-0.6040816326530611,-0.6020408163265306,-0.3591165896250642,-0.38923449431924
121436,4462,731,4462,6,2023-03-31,0.37874097007223945,0.03818369453044379,0.16197352587244288,0.16810520061294063,0.38348813209494326,-0.2544891640866872,0.14774731441398112,0.19825504166163505
121437,4462,731,4462,4,2023-03-31,0.03363026724051643,0.019717745971374212,-0.03032490974729244,-0.024584247034452195,0.07770993894505054,-4.0036032429124904e-05,-0.01077054198302701,0.004663899766301641
69394,1034,12836,1034,4,2022-02-01,0.6770833333333334,0.625,0.8147292418772564,0.8042929292929293,0.5916666666666667,0.5916666666666667,0.3973538198890311,0.41841433214672646
69395,1034,12836,1034,1,2022-02-01,0.62,0.57,0.8011552346570396,0.7918181818181818,0.5559999999999999,0.608,0.3806818181818182,0.3960110613071139
86543,278,2934,278,0,2022-05-28,0.16040100250626566,0.15037593984962405,0.060505415162454945,0.0684210526315789,0.18466165413533836,-0.07418546365914791,0.05212940212940214,0.07577962577962578
86544,278,2934,278,4,2022-05-28,0.10664335664335667,0.0699300699300699,0.0506859205776174,0.04252754820936638,-0.08076923076923075,-0.1650349650349651,0.08673426967010754,0.07602317479902958
79194,2815,1034,1034,3,2022-04-30,0.013574660633484115,0.0018099547511312153,0.07894103489771362,0.0684491978609625,0.13828054298642528,0.013212669683257872,0.022661376307122234,0.037315082551279875
79195,2815,1034,1034,5,2022-04-30,0.009412304866850296,0.08348637894092437,0.00837545126353778,0.004838328185435594,0.03581267217630853,-0.027869605142332433,0.014485162747117857,0.020103115628370086
83266,7013,6961,6961,3,2022-06-05,-0.13492063492063489,-0.21428571428571425,-0.1754512635379061,-0.19853294853294853,-0.12063492063492065,0.07777777777777786,-0.09979098073288215,-0.1021829811285294
83267,7013,6961,6961,1,2022-06-05,-0.5131313131313132,-0.09898989898989896,-0.3176895306859206,-0.33982246709519437,-0.3733333333333334,0.29171717171717165,-0.22009130872544821,-0.2527142227268048
134560,2359,2355,2355,8,2023-07-17,0.1565934065934066,0.10027472527472531,0.09747292418772563,0.0841450216450217,0.08846153846153851,-0.11222527472527473,0.08318478249947243,0.0960292829752319
134561,2359,2355,2355,6,2023-07-17,0.040202966432474674,0.11533957845433251,0.03851985559566772,0.04370697608402526,0.06971116315378607,-0.06491022638563626,0.04636106352403723,0.056175168794758756
116733,277,2934,2934,0,2023-03-19,0.12577319587628866,0.22176403207331036,0.09480144404332126,0.13370474504495128,0.15376861397479952,-0.022955326460481106,0.06139539472872808,0.07345127400072454
116734,277,2934,2934,3,2023-03-19,0.2333333333333334,0.07380952380952382,0.07382671480144411,0.11349206349206353,0.03619047619047615,-0.1019047619047619,0.0822114535924706,0.08066389394408312
116735,277,2934,2934,8,2023-03-19,0.08865795242347974,0.09718275554112205,0.0317689530685921,0.04645587153503045,0.04819355362507105,-0.023966875050742863,0.026902714930477366,0.03074762524265739
31511,120,856,120,0,2021-04-29,0.028266798909000745,-0.13587899826431937,0.03978339350180499,0.04571377048441269,0.16533597818001491,0.02137366724522689,0.009631004185588767,0.032110285697086266
31512,120,856,120,5,2021-04-29,0.18393574297188753,0.01640849110728626,0.138158844765343,0.14665936473165392,0.01652323580034425,-0.11899024670109011,0.12408849450682115,0.11624015793390921
85337,5448,104,104,4,2022-05-22,-0.020202020202020166,0.15353535353535352,0.01877256317689537,0.037802265074992375,-0.03232323232323235,0.02424242424242422,0.006527448676208989,-0.002310626436500576
85338,5448,104,5448,1,2022-05-22,0.1891891891891892,0.09009009009009011,0.12093862815884497,0.14332514332514337,0.10228690228690222,-0.156895356895357,0.10726796585382442,0.11515690192160778
85339,5448,104,5448,5,2022-05-22,-0.05705384957721399,0.07485536270582999,0.0691696750902527,0.0890790414154901,0.07811303960836673,-0.007209612817089451,0.03906599675511592,0.043144963844445695
147367,188,5448,5448,0,2023-11-03,0.2122914538644876,0.17522943648683414,0.07942238267148015,0.08988377131890926,-0.06680286006128702,-0.13358869594824654,0.09755217688412597,0.08700954096076471
147368,188,5448,188,1,2023-11-03,-0.04565217391304349,-0.037826086956521676,-0.043032490974729096,-0.06345849802371545,0.05321739130434784,0.028173913043478292,-0.03595217342746989,-0.02284317841383057
147369,188,5448,188,6,2023-11-03,-0.06795366795366797,-0.03577863577863577,-0.03422382671480151,-0.03330993330993327,0.06517374517374516,0.03305019305019306,-0.029456488051094167,-0.017079721842750008
