match_id,t1,t2,date,map,winner,played,net_h2h,past_diff,best_odds,worst_odds,t1_win%,t1_pick%,t1_ban%,t1_play%,t2_win%,t2_pick%,t2_ban%,t2_play%
167356,1034,2304,2023-02-17,0,True,False,0.0,-3,0.7042253521126761,0.6896551724137931,0,0.0,1.0,0.0,0,0.0,0.0,0.0
167356,1034,2304,2023-02-17,3,True,False,0.0,-3,0.7042253521126761,0.6896551724137931,0,0.0,1.0,0.0,0,0.0,0.0,0.0
167356,1034,2304,2023-02-17,8,True,False,0.0,-3,0.7042253521126761,0.6896551724137931,0,0.0,0.0,0.0,0,0.0,1.0,0.0
167357,6961,8877,2023-02-17,0,True,False,0.0,11,0.7407407407407407,0.7407407407407407,0,0.0,1.0,0.0,0,0.0,0.0,0.0
167357,6961,8877,2023-02-17,6,True,False,0.0,11,0.7407407407407407,0.7407407407407407,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
167357,6961,8877,2023-02-17,4,True,False,0.0,11,0.7407407407407407,0.7407407407407407,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167357,6961,8877,2023-02-17,7,True,True,0.0,11,0.7407407407407407,0.7407407407407407,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
167357,6961,8877,2023-02-17,8,True,True,0.0,11,0.7407407407407407,0.7407407407407407,0,0.0,0.0,1.0,0,0.0,1.0,0.0
167357,6961,8877,2023-02-17,5,True,False,0.0,11,0.7407407407407407,0.7407407407407407,0,0.0,1.0,0.0,0,0.0,1.0,0.0
167357,6961,8877,2023-02-17,3,True,True,0.0,11,0.7407407407407407,0.7407407407407407,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0
167358,8185,188,2023-02-18,8,True,False,-1.0,2,0.4524886877828054,0.4524886877828054,0,0.0,1.0,0.0,0,0.0,0.0,0.0
167358,8185,188,2023-02-18,0,True,False,-1.0,2,0.4524886877828054,0.4524886877828054,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0
167358,8185,188,2023-02-18,6,True,False,-1.0,2,0.4524886877828054,0.4524886877828054,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
167358,8185,188,2023-02-18,4,True,True,-1.0,2,0.4524886877828054,0.4524886877828054,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0
167358,8185,188,2023-02-18,3,True,False,-1.0,2,0.4524886877828054,0.4524886877828054,0,0.0,0.0,0.0,0,0.0,0.0,1.0
167358,8185,188,2023-02-18,7,True,True,-1.0,2,0.4524886877828054,0.4524886877828054,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
167359,5248,8304,2023-02-18,4,False,True,0.0,2,0.5555555555555556,0.5555555555555556,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
167359,5248,8304,2023-02-18,0,False,False,0.0,2,0.5555555555555556,0.5555555555555556,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0
167359,5248,8304,2023-02-18,5,False,True,0.0,2,0.5555555555555556,0.5555555555555556,0,0.0,0.0,0.0,0,0.0,0.0,1.0
167359,5248,8304,2023-02-18,8,False,True,0.0,2,0.5555555555555556,0.5555555555555556,0,0.0,0.0,0.0,0,0.0,1.0,0.0
167359,5248,8304,2023-02-18,3,False,False,0.0,2,0.5555555555555556,0.5555555555555556,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
167359,5248,8304,2023-02-18,7,False,False,0.0,2,0.5555555555555556,0.5555555555555556,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0
