match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
184050,4915,474,4,0,7,8,3,1,6,2,0,-3.0,8.0,4.0,2023-05-05
237270,6199,17,8,7,1,3,4,0,6,2,0,-3.0,4.0,-2.0,2023-07-20
232731,2406,2355,3,7,6,4,8,0,1,1,2,-2.0,-5.0,-4.0,2023-07-16
212525,10725,11058,1,7,3,8,0,4,6,2,0,-2.0,4.0,-6.0,2023-05-31
286646,8185,624,9,8,1,4,2,6,0,0,2,-2.0,-2.0,1.0,2023-12-07
296735,14,6387,5,1,0,9,6,2,8,2,0,,-1.0,3.0,2024-02-17
164031,6387,2112,0,3,5,4,6,7,8,2,1,2.0,6.0,5.0,2023-03-08
307574,2,11058,6,1,5,0,2,9,8,1,2,3.0,5.0,-2.0,2024-02-26
167371,2359,2059,8,3,5,6,4,7,0,2,0,,8.0,0.0,2023-02-25
184518,6199,17,7,1,3,6,4,0,8,1,2,-2.0,3.0,-8.0,2023-05-21
312768,2,1001,2,5,0,8,6,9,1,2,1,,4.0,3.0,2024-03-15
297402,14419,8877,0,2,1,5,8,9,6,1,2,4.0,6.0,-2.0,2024-02-20
314311,6199,5448,1,0,2,8,5,6,9,2,1,-1.0,0.0,-2.0,2024-04-14
184473,6199,878,7,0,6,3,5,8,4,0,2,0.0,0.0,-4.0,2023-04-15
248278,2593,1184,3,6,7,0,4,8,1,2,0,3.0,6.0,-1.0,2023-08-18
295608,2406,7386,5,1,0,9,8,2,6,0,2,2.0,-6.0,2.0,2024-02-19
173217,474,2059,7,0,5,8,4,3,6,1,2,1.0,-1.0,-3.0,2023-03-28
220445,624,2593,7,3,4,0,6,1,8,0,2,2.0,9.0,5.0,2023-06-19
303094,2593,8877,0,2,9,5,8,6,1,0,2,2.0,7.0,4.0,2024-02-29
247100,474,4915,4,6,7,0,3,1,8,0,2,4.0,3.0,-3.0,2023-08-06
184472,624,8185,6,7,4,5,0,8,3,0,2,-5.0,2.0,6.0,2023-04-15
183776,6961,7386,3,5,7,0,8,6,4,2,1,,5.0,-2.0,2023-04-02
184495,6199,8185,7,8,6,1,4,0,3,2,0,-2.0,-5.0,8.0,2023-05-13
184482,14,278,1,7,4,0,8,6,3,2,1,,1.0,-9.0,2023-04-29
286648,14,1120,0,2,4,8,1,6,9,2,0,-2.0,-1.0,6.0,2023-12-06
286644,2,8185,6,0,9,4,1,8,2,2,0,,7.0,1.0,2023-12-07
173216,1001,1184,5,8,3,4,6,7,0,0,2,2.0,-5.0,-5.0,2023-03-28
281030,2355,2406,4,1,0,6,9,2,8,0,2,3.0,-5.0,4.0,2023-11-11
329909,17,14,5,8,6,1,9,0,2,1,2,-5.0,1.0,2.0,2024-05-04
314645,2,6961,8,9,2,1,5,6,0,0,2,-1.0,2.0,-8.0,2024-04-27
286649,474,14,4,1,9,8,2,6,0,1,2,,-5.0,0.0,2023-12-08
183946,2593,1001,7,8,4,6,5,0,3,2,0,,9.0,-6.0,2023-04-06
220451,474,1034,3,6,7,1,4,0,8,1,2,,2.0,-1.0,2023-06-19
167360,1034,6961,4,6,0,5,7,8,3,1,2,,2.0,10.0,2023-02-19
312777,17,624,9,1,5,2,6,8,0,2,0,-1.0,8.0,1.0,2024-03-21
167352,397,8185,6,8,3,5,7,0,4,1,2,,-2.0,8.0,2023-02-14
282933,2,10725,2,8,0,1,4,9,6,2,0,1.0,4.0,5.0,2023-11-03
220290,1034,4915,4,1,3,7,0,6,8,2,1,,1.0,-2.0,2023-06-11
237268,17,8304,1,0,3,6,7,8,4,2,1,-2.0,-5.0,4.0,2023-07-19
329908,624,8304,8,0,2,5,6,1,9,2,1,1.0,5.0,3.0,2024-05-03
183815,1034,6961,1,3,0,6,8,7,4,2,0,-1.0,3.0,7.0,2023-05-14
222705,6387,11348,7,4,0,8,6,3,1,0,2,,8.0,5.0,2023-07-02
248272,8185,12010,3,8,1,0,6,4,7,2,0,,-1.0,1.0,2023-08-17
183952,2304,397,7,6,0,4,5,8,3,2,0,2.0,0.0,-8.0,2023-04-14
314640,2,5248,8,5,2,0,1,6,9,1,2,-2.0,5.0,-4.0,2024-04-23
314306,918,8185,5,8,1,9,6,0,2,0,2,-2.0,-3.0,2.0,2024-04-08
247093,2593,5448,7,8,1,0,4,3,6,2,0,-1.0,6.0,2.0,2023-08-08
314626,2355,2406,1,0,8,9,5,6,2,2,1,1.0,-8.0,-10.0,2024-04-08
314630,2355,7386,1,2,6,8,5,9,0,2,0,1.0,-6.0,2.0,2024-04-14
183791,6961,2,3,6,5,8,7,4,0,2,1,,4.0,-6.0,2023-04-21
248276,624,5248,8,6,3,4,0,1,7,2,1,-1.0,6.0,4.0,2023-08-24
184041,397,2059,7,5,8,3,4,0,6,2,0,,-8.0,1.0,2023-04-21
183779,188,6961,3,4,5,6,0,8,7,1,2,,2.0,4.0,2023-04-08
314639,188,120,2,9,6,8,0,1,5,0,2,0.0,-1.0,-3.0,2024-04-22
173222,2593,397,3,5,7,6,0,4,8,2,1,2.0,10.0,-5.0,2023-03-31
318920,474,4915,9,5,2,1,8,6,0,1,2,-2.0,-1.0,4.0,2024-04-11
278615,1120,8185,0,1,9,4,6,2,8,1,2,1.0,5.0,-1.0,2023-10-08
220442,2593,1034,7,4,6,0,3,1,8,2,0,,5.0,2.0,2023-06-16
184044,7035,8877,3,7,8,5,6,0,4,1,2,,-6.0,-6.0,2023-04-27
283063,397,1184,1,9,8,2,6,0,4,2,0,-6.0,-2.0,4.0,2023-10-29
294182,188,13188,8,6,9,2,5,0,1,0,2,3.0,-3.0,3.0,2024-01-13
173220,474,1184,3,4,7,5,6,8,0,2,1,3.0,-4.0,-1.0,2023-03-30
296730,5448,918,2,8,6,0,5,1,9,2,0,1.0,-1.0,-3.0,2024-02-18
284660,4050,8304,9,1,8,0,4,2,6,1,2,1.0,3.0,3.0,2023-11-26
303093,1001,4915,6,5,0,1,2,9,8,2,0,-1.0,1.0,6.0,2024-02-29
314307,17,8304,2,8,9,5,0,6,1,2,0,-1.0,4.0,-3.0,2024-04-09
314644,11058,7386,9,2,6,0,5,1,8,2,0,-1.0,2.0,-7.0,2024-04-27
247094,1034,12010,4,1,0,3,6,8,7,0,2,,1.0,1.0,2023-08-08
