map_id,t1,t2,date,map,winner,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,eco_wr_diff,antieco_wr_diff,fullbuy_wr_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff,kast_diff,rating_diff,mks_diff,clutch_diff,econ_diff
97306,2304,9806,2022-10-03,1,2304,0.6326530612244898,0.3620689655172414,0.8055555555555556,0.5612244897959183,0.625,0.6744186046511628,0.41025641025641024,0.6086956521739131,0.8335342878673699,0.7677798392084108,0.5673469387755101,0.6206174777603349,0.35677779219094563,0.37653577451216574,0.790495867768595,0.7693579148124603,0.7275862068965517,0.5333333333333333,0.6383458646616541
67902,6675,7715,2022-01-27,8,6675,0.46875,0.5454545454545454,0.7142857142857143,0.59375,0.0,1.0,1.0,0.6666666666666666,0.7528259231348908,0.6647727272727273,0.5375,0.7628205128205128,0.2513251454427925,0.2719087635054021,0.7169421487603306,0.6102987921169739,0.9310344827586207,0.5714285714285714,0.4398496240601503
67903,6675,7715,2022-01-27,5,6675,0.631578947368421,0.36363636363636365,0.7727272727272727,0.5789473684210527,0.6190476190476191,0.6956521739130435,0.45454545454545453,0.6538461538461539,0.8362220547601105,0.7861509835194046,0.5052631578947369,0.6243814664867297,0.3631123919308357,0.369905310827501,0.756542699724518,0.7219749947022674,0.6839080459770115,0.5238095238095238,0.5911654135338346
32031,1034,2815,2021-04-30,8,2815,0.012286090390522142,-0.0980392156862745,0.14393939393939392,0.012286090390522142,-0.125,0.11111111111111116,0.16666666666666663,-0.0672268907563025,-0.031650339110776214,-0.04874546252343534,-0.011935059236507239,0.024662188769253336,-0.02658052607291184,-0.024892873623838074,-0.031336088154269845,-0.05626191989828355,0.08045977011494249,0.6111111111111112,0.001566416040100295
32032,1034,2815,2021-04-30,0,2815,0.10509554140127386,0.1449275362318841,-0.11253196930946285,0.13357062570251033,0.0,0.02777777777777779,0.11538461538461542,-0.05341880341880345,0.1019485412853913,0.08903856852526768,-0.05140502060696894,-0.08880690933894378,0.07450356472795497,0.05942508710801394,0.08471074380165308,0.09354282081554816,0.23645320197044337,-0.1071428571428571,0.06780343716433943
48464,918,3711,2021-08-13,8,918,0.22393822393822388,0.18199233716475094,-0.047008547008547064,0.06885456885456886,-0.21825396825396826,0.008333333333333415,0.01010101010101011,-0.13028169014084512,0.1363978899773927,0.12827112827112824,0.06074646074646077,-0.05346005346005347,0.07350706436420726,0.07154518950437318,0.10041322314049582,0.16986649713922433,0.21034482758620696,0.3257575757575758,0.0911654135338346
48465,918,3711,2021-08-13,4,3711,0.28023327194597913,0.23529411764705882,-0.058064516129032295,0.10822093770070645,0.2254901960784314,-0.10000000000000009,-0.24444444444444446,-0.1428571428571429,0.02984174830444618,0.11746842271704153,0.2174340085942296,-0.16105523287843718,0.0982421726607773,0.11856232122012852,0.1826446280991735,0.1281627463445646,0.055172413793103434,0.3629032258064516,0.040789473684210625
48466,918,3711,2021-08-13,1,918,0.3900862068965517,-0.13928571428571426,0.7717391304347826,0.3448275862068966,0.2473118279569893,-0.07500000000000007,-0.10852713178294571,-0.2681159420289856,0.2712886209495102,0.30394461859979105,0.34913793103448276,-0.24580017683465955,0.17967463346053422,0.2075640308342658,0.3256198347107438,0.3892561983471075,0.5793103448275863,0.02777777777777779,0.14041353383458643
63373,468,1034,2022-01-22,1,1034,-0.28243243243243243,-0.09090909090909094,-0.4378378378378378,-0.09324324324324329,-0.26666666666666666,0.06707317073170727,0.026315789473684237,-0.025000000000000022,-0.2577995478522984,-0.245945945945946,-0.16108108108108105,0.15661815661815653,-0.1465137201979307,-0.1531519771651351,-0.20123966942148747,-0.22771773680864574,-0.36896551724137927,0.2727272727272727,-0.2015037593984962
63374,468,1034,2022-01-22,2,1034,-0.12213183945974981,-0.07558139534883723,-0.023984649824112525,-0.04638937917274194,-0.07130434782608697,-0.0235294117647058,-0.09999999999999998,-0.023193577163247103,-0.10276940467219295,-0.11549731060896737,0.02635254393369655,0.13779370298440213,-0.10074104814857021,-0.0888423160627817,-0.08186983471074373,-0.11363636363636362,-0.0603448275862069,0.09157509157509158,-0.10831766917293231
83972,533,1034,2022-05-22,1,533,-0.03015075376884424,0.03939393939393937,-0.07747223691168692,0.035175879396984966,-0.2848020434227331,0.18636647904940584,0.29102564102564105,0.015617715617715633,-0.0011303692539562282,-0.016826557027562104,0.03819095477386938,0.00824636000515401,-0.010920174528610422,-0.0032676569479826046,-0.02396694214876033,-0.0058486967577875875,-0.04827586206896547,-0.17826086956521736,0.011654135338345816
83973,533,1034,2022-05-22,8,533,-0.007654786052351925,-0.04841269841269841,0.21322215604526495,0.0021974306964165358,-0.20133481646273638,0.03205128205128205,0.06219512195121957,0.0,-0.02471740768651083,-0.022930332007411115,-0.0009465855307640326,0.005711214636163912,-0.012229101908514145,-0.010410272610984228,-0.020041322314049675,-0.0028607755880482827,-0.02068965517241384,0.07179487179487176,-0.0250000000000001
96049,878,4150,2022-09-17,2,878,0.019164759725400493,-0.12136752136752132,0.13829787234042556,-0.028318077803203667,0.0,0.0714285714285714,0.1428571428571429,0.009803921568627527,-0.09807298955754112,-0.07273680743360372,-0.01853546910755153,0.067652408613507,-0.0548982323579819,-0.052168761471087045,-0.058146399055490065,-0.06511670148033784,-0.20689655172413793,0.6153846153846154,-0.07491944146079481
