match_id,t1,t2,correct,date,bankroll,$win,$lose
314630,2355,7386,True,2024-04-14,2408.5,51.000000000000014,50
314312,6387,878,False,2024-04-14,2358.5,67.56756756756755,50
314632,188,5248,False,2024-04-15,2308.5,138.88888888888886,50
314314,918,8304,False,2024-04-15,2258.5,200.0000000000001,50
314313,17,278,False,2024-04-15,2208.5,1250.000000000001,50
314315,14,878,False,2024-04-16,2158.5,81.96721311475409,50
314316,6387,5448,False,2024-04-16,2108.5,92.59259259259261,50
318925,8877,4915,False,2024-04-17,2058.5,50.0,50
318924,12694,2593,False,2024-04-17,2008.5,500.0000000000001,50
318926,397,1001,True,2024-04-18,2178.5,170.00000000000006,50
318927,2059,1184,True,2024-04-18,2291.5,113.0,50
318928,474,14419,False,2024-04-19,2241.5,119.0476190476191,50
318929,2593,7035,False,2024-04-19,2191.5,1000.0000000000014,50
314317,17,8185,True,2024-04-20,2281.0,89.49999999999997,50
314635,188,6961,True,2024-04-20,2370.0,88.99999999999997,50
314318,6387,278,False,2024-04-20,2320.0,58.82352941176468,50
314634,2,7386,False,2024-04-20,2270.0,1250.000000000001,50
314319,918,878,True,2024-04-21,2365.0,95.0,50
314320,6199,624,True,2024-04-21,2493.0,128.0,50
314637,1034,2359,True,2024-04-21,2561.5,68.50000000000001,50
314636,2355,5248,False,2024-04-21,2511.5,87.71929824561403,50
314321,14,8304,True,2024-04-22,2634.5,123.00000000000003,50
314322,17,5448,False,2024-04-22,2584.5,624.999999999999,50
314638,11058,2406,False,2024-04-22,2534.5,113.63636363636363,50
314639,188,120,True,2024-04-22,2577.0,42.5,50
314324,918,624,False,2024-04-23,2527.0,1000.0000000000005,50
314323,6199,278,False,2024-04-23,2477.0,161.2903225806451,50
314641,1034,7386,False,2024-04-23,2427.0,1000.0000000000014,50
314640,2,5248,True,2024-04-23,2808.0,380.99999999999994,50
318931,2059,12694,True,2024-04-24,2965.0,157.00000000000003,50
318930,474,1001,True,2024-04-24,3009.5,44.499999999999986,50
314643,2355,6961,False,2024-04-24,2959.5,41.66666666666666,50
314642,11058,2359,False,2024-04-24,2909.5,294.11764705882376,50
318932,2593,1184,True,2024-04-25,3004.5,95.0,50
318933,397,4915,True,2024-04-25,3154.5,150.0,50
318934,2059,14419,False,2024-04-26,3104.5,119.0476190476191,50
318935,8877,7035,False,2024-04-26,3054.5,416.6666666666664,50
314325,6387,624,False,2024-04-27,3004.5,500.0000000000001,50
314644,11058,7386,False,2024-04-27,2954.5,147.0588235294117,50
314326,918,278,False,2024-04-27,2904.5,106.38297872340425,50
314645,2,6961,True,2024-04-27,3000.0,95.5,50
314328,6199,8304,True,2024-04-28,3078.0,78.0,50
314646,188,2406,False,2024-04-28,3028.0,416.6666666666664,50
314327,14,5448,False,2024-04-28,2978.0,90.9090909090909,50
314647,1034,5248,True,2024-04-28,3121.5,143.50000000000003,50
314648,2355,120,False,2024-04-29,3071.5,58.82352941176468,50
314330,17,878,True,2024-04-29,3293.5,222.0,50
314329,6387,8185,False,2024-04-29,3243.5,1249.9999999999989,50
318936,397,14419,True,2024-05-01,3345.5,102.0,50
318937,8877,1001,False,2024-05-01,3295.5,71.42857142857143,50
318939,4915,2593,True,2024-05-02,3342.0,46.499999999999986,50
