,match_id,t1,t2,winner,date,net_h2h,past_diff,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,eco_wr_diff,antieco_wr_diff,fullbuy_wr_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff,kast_diff,rating_diff,mks_diff,clutch_diff,econ_diff
0,188030,6387,12477,True,2023-04-12,0.0,10.0,0.22699443413729126,0.0,0.5744500846023689,0.26674397031539887,0.462406015037594,-0.13165266106442575,-0.17385444743935308,-0.046654929577464754,55.23600000000002,1.1339981447124305,0.5255102040816326,-0.6543135435992582,0.5046677145599804,0.7378469234387728,0.22171999999999992,0.37938000000000005,9.18,-0.5490196078431373,12.788000000000004
1,296737,14,5448,True,2024-02-19,2.0,0.0,0.014671968619337006,0.048256853180389137,-0.00012130033964097287,0.014689246492688712,-0.034113060428849984,-0.04414191419141911,-0.021031207598371793,-0.007749199170906329,3.1963076923076983,0.052034839863786875,-0.08775028018449071,-0.03675266175266145,0.0254147926526771,0.00454129126988656,0.008763076923076873,0.03335846153846156,1.1538461538461569,0.042355150214592296,0.7516923076923092
2,289447,17,4733,True,2023-12-14,0.0,-4.0,0.03737373737373739,-0.1734841628959276,0.16649919614147912,0.04624017957351295,-0.0709071949947862,0.061111111111111116,0.05555555555555558,-0.049491573632937436,22.168372093023237,0.18855218855218858,0.3154882154882155,-0.22424242424242413,0.10524063111039017,0.2173248993052741,0.05443720930232543,0.07156279069767435,0.013953488372091982,-0.10521235521235517,1.9116279069767472
3,183944,2059,1184,False,2023-04-05,1.0,0.0,-0.014721707076951307,-0.013307618129218934,-0.08778280542986427,-0.0333127275224947,-0.3928571428571428,0.11346018322762508,0.09559613319011817,-0.012626262626262541,-7.219999999999999,-0.06303088582091254,-0.07443276781830233,0.018636811136295783,-0.023185929352149137,-0.046751171080929854,-0.0122000000000001,-0.01880000000000015,-0.6999999999999993,-0.21245421245421242,-0.6400000000000077
4,237269,5448,878,True,2023-07-20,1.0,-7.0,-0.001553398058252442,-0.038844573362339874,0.01754385964912286,-0.0007164043632592043,0.12527821939586647,0.002543068088597278,-0.005360623781676455,0.01108280254777061,-1.1159999999999854,-0.08014563106796091,-0.0075404530744338505,-0.03063106796116477,-0.014210728858794819,-0.012495085735415579,0.006357142857142728,-0.0045399999999998775,-0.6285714285714263,0.06472120896300154,-0.6642857142857252
5,247090,1184,14,True,2023-08-12,2.0,0.0,0.011137511137511158,-0.019815350695879863,0.00992169507139573,-0.002376002376002384,-0.03647256674374605,0.027878787878787836,0.012418300653594727,-0.030581902076390666,0.7380807642205411,0.0664538164538162,0.12615087615087628,0.07001782001781987,-0.0010567761143491783,0.02649050978546108,-0.002328267477203383,-0.0014046895353887479,0.008684324793748033,0.031006951614013456,-0.1665653495440793
6,314304,14,624,False,2024-04-07,-8.0,0.0,-0.02692358824677793,0.06264572056572959,-0.03519888802583704,-0.011396451774472238,0.03745034991488555,-0.02450930711800281,-0.004694835680751186,0.01643955584547574,-4.256726768377263,-0.08665803527691329,-0.15321066140319584,0.0001476159279083511,-0.025139364801107567,-0.06952652190732178,-0.008238002773924946,-0.04107808599167806,-0.19667128987517302,0.01419053387557323,-1.250624133148392
7,183948,7035,2304,False,2023-04-07,-1.0,0.0,0.030791788856304958,0.11134949581634845,-0.044477390659747984,-0.048806032677000455,0.23809523809523808,0.03578947368421048,0.04887218045112782,-0.061786085150571046,-0.5400000000000205,0.012777545035609794,0.22559698366149972,-0.12735651445328866,0.03976740477946317,0.11999481792996236,-0.00853333333333317,-0.009666666666666712,3.8000000000000007,0.12058823529411766,-3.479999999999997
8,318934,2059,14419,True,2024-04-26,-1.0,6.0,0.06374503049379243,0.0796365350820796,0.10223010298029045,-0.03625883824213172,0.23814229249011865,-0.11528345996493283,-0.044471644226846185,0.034561403508771904,12.829999999999984,0.2743592057282682,0.23797631622248527,-0.06823815413032985,0.09523374478912883,0.1702618293541227,0.021171428571428508,0.09105238095238077,2.826190476190476,0.06776649746192892,2.470952380952397
9,314301,918,5448,False,2024-04-06,-5.0,-3.0,0.0021503235440517576,-0.0032908268202386237,-0.010536495978825222,0.009238310708898911,-0.0549096238397655,-0.003818683261438305,-0.034917399699635254,-0.02975633426917612,-1.0211418376449046,-0.0507864609258335,-0.010388252862120417,0.04745644599303134,-0.026996436888516273,-0.0353866201173163,-0.0023523639607493374,0.010506244424620892,0.1199821587867973,0.08930086029322676,-1.0162355040142756
10,314322,17,5448,True,2024-04-22,-1.0,4.0,0.02465304702823523,0.012099585157080317,0.017034280354603526,0.01758000906513235,-0.05571714386590226,0.0041480127912288944,0.014188590008867852,-0.027251131728743605,2.695758513931878,0.04969809104593326,0.10538268884276802,-0.015921848629293578,0.018670822974152346,0.05072886178820468,0.01542383900928812,0.03854148606811125,0.4764705882352942,0.06880048271417016,0.993498452012382
11,282938,13188,11058,False,2023-11-02,0.0,7.0,0.00525709783959033,0.07559366754617414,0.029563218390804558,-0.061176256703936005,-0.395,0.08019323671497591,0.15791076595096698,-0.028066663765719424,-2.4616780045351163,-0.042814289610035416,-0.00463594218707386,0.1050914563322527,-0.039463019250253306,-0.053963058218377435,-0.014798185941042985,-0.06328344671201835,0.6893424036281175,0.13995943204868155,1.5369614512471657
