,match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date,t1_elo,t2_elo,elo_diff
848,51270,427,2112,False,1,0,3,2,5,8,4,1,2,2.0,1,-3,0.7580254425401977,0.8050682261208577,0.7109826589595376,2021-12-07,1500.7024671725246,1500.0339081301693,0.6685590423553549
502,51290,3531,6199,True,1,3,4,0,5,2,8,2,0,,6,1,0.6767842493847416,0.7246376811594204,0.6289308176100629,2021-12-08,1546.5612260339533,1516.7023986633528,29.858827370600466
15,51291,474,188,True,8,5,3,4,1,0,2,2,0,,9,6,0.756019627981285,0.7874015748031495,0.7246376811594204,2021-12-08,1532.0,1500.736306793522,31.26369320647791
1214,51293,2593,2355,False,3,1,2,0,4,5,8,1,2,2.0,0,4,0.6992474402112956,0.6996996996996997,0.6987951807228916,2021-12-09,1532.0,1516.0,16.0
1087,51292,682,2112,True,1,8,4,5,3,0,2,2,1,,0,0,0.793353323338331,0.8620689655172414,0.7246376811594204,2021-12-09,1516.0,1516.0646963738625,-0.06469637386248905
1247,51294,3531,474,True,4,2,3,5,1,8,0,2,0,-2.0,6,9,0.3690087145969498,0.3703703703703703,0.3676470588235294,2021-12-11,1561.1895515225895,1546.5641271217237,14.625424400865768
662,51295,682,2355,True,5,3,4,8,0,2,1,2,1,,2,3,0.7095410628019324,0.7246376811594204,0.6944444444444444,2021-12-11,1532.0029793780861,1532.736306793522,-0.7333274154359515
424,64784,14,6675,False,3,2,8,5,4,0,1,1,2,,7,8,0.5370370370370371,0.5370370370370371,0.5370370370370371,2022-01-19,1500.0,1500.0,0.0
1295,67320,337,6675,False,1,5,2,3,0,4,8,1,2,,0,9,0.6632996632996633,0.6632996632996633,0.6632996632996633,2022-01-28,1500.0,1516.0,-16.0
1094,67328,1034,856,True,3,8,0,5,4,2,1,2,0,-1.0,7,6,,0.0,1.0,2022-01-28,1484.0,1500.0,-16.0
1340,66888,918,797,True,5,4,2,1,8,3,0,2,1,,6,0,0.9391534391534392,0.9523809523809524,0.9259259259259258,2022-01-28,1500.0,1500.0,0.0
347,67326,17,14,False,3,1,0,2,5,8,4,0,2,0.0,6,6,,0.0,1.0,2022-01-28,1500.0,1484.0,16.0
231,67355,17,2350,False,0,4,5,3,2,1,8,1,2,,4,6,,0.0,1.0,2022-01-29,1483.263693206478,1500.0,-16.73630679352209
397,67360,1034,4940,True,4,5,3,8,0,2,1,2,1,-2.0,6,5,,0.0,1.0,2022-01-29,1500.736306793522,1516.0,-15.26369320647791
992,67357,14,106,True,3,1,4,0,5,8,2,1,0,-6.0,5,6,,0.0,1.0,2022-01-29,1500.736306793522,1500.0,0.7363067935220897
473,66892,918,4733,True,2,8,4,5,3,1,0,2,0,2.0,6,1,0.9391534391534392,0.9523809523809524,0.9259259259259258,2022-01-29,1516.0,1500.0,16.0
219,67336,533,6675,True,4,0,2,3,8,1,5,2,0,,9,8,,0.0,1.0,2022-01-29,1500.0,1531.263693206478,-31.26369320647791
271,67332,637,14,True,3,4,5,0,8,1,2,2,0,,4,6,0.6493506493506493,0.6493506493506493,0.6493506493506493,2022-01-29,1500.0,1516.7023986633528,-16.702398663352824
654,67364,637,1034,False,1,8,5,3,2,0,4,0,2,1.0,5,5,,0.0,1.0,2022-01-30,1516.7685818980626,1517.4387739660467,-0.6701920679840896
1180,67363,6675,6461,True,3,1,2,8,0,4,5,2,0,,4,5,,0.0,1.0,2022-01-30,1513.8278203282016,1500.0,13.827820328201597
336,67362,1615,1034,False,4,5,0,3,8,2,1,0,2,,4,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,2022-01-30,1500.0,1533.407910519023,-33.40791051902306
318,68845,918,4829,True,2,5,3,8,4,0,1,2,0,1.0,5,3,0.8906052963430012,0.9615384615384616,0.819672131147541,2022-02-04,1531.263693206478,1500.0,31.26369320647791
1480,68699,2291,5248,False,3,5,1,8,0,2,4,1,2,,5,10,0.4949494949494949,0.4949494949494949,0.4949494949494949,2022-02-05,1500.0,1500.0,0.0
913,69123,918,797,False,5,2,3,4,8,0,1,1,2,1.0,5,6,0.7270018621973929,0.7333333333333334,0.7206703910614525,2022-02-05,1545.8278203282016,1484.0,61.8278203282016
512,68702,637,5248,False,3,2,5,4,0,8,1,1,2,,9,9,,0.0,1.0,2022-02-05,1500.7994453450863,1516.0,-15.20055465491373
1044,64791,624,6943,True,3,1,2,5,8,4,0,2,0,,6,2,,0.0,1.0,2022-02-10,1499.263693206478,1500.0,-0.7363067935220897
842,68990,257,2593,False,1,3,2,4,0,5,8,1,2,2.0,7,-2,0.504950495049505,0.504950495049505,0.504950495049505,2022-02-11,1500.0,1515.263693206478,-15.26369320647791
