match_id,t1,t2,winner,date,net_h2h,past_diff,comp_wr_diff,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,eco_wr_diff,antieco_wr_diff,fullbuy_wr_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff,kast_diff,rating_diff,mks_diff,clutch_diff,econ_diff
188030,6387,12477,True,2023-04-12,0.0,0.5263157894736842,0.06390364884631997,0.6317555938037867,0.0,1.0,1.0,0.5394736842105263,-0.3686274509803921,-0.5215633423180592,-0.21187507275055276,0.8705437352245881,0.814468935650436,0.5283693455619461,-0.4606367346938776,0.7400853355977367,0.6935893192575752,0.7152258064516125,0.6559412146098983,9.18,-0.7058823529411765,0.7144134078212291
296737,14,5448,True,2024-02-19,0.25,0.0,-0.015409040685911828,0.040834033145383725,0.1184034129580682,-0.0002111590595811928,0.05506871055162035,-0.03979857050032498,-0.12359735973597352,-0.06309362279511538,-0.03519161111085147,0.05037521973692244,0.0373728659418104,-0.08822770281879154,-0.025873873873873656,0.037270296487864465,0.0042688951059811,0.028267990074442955,0.057676181609614505,1.1538461538461569,0.05445662170447581,0.0419939836699614
289447,17,4733,True,2023-12-14,0.0,-0.21052631578947367,-0.1825154457420318,0.10401606425702818,-0.42566217287866775,0.2898410159635174,0.1733504210754546,-0.08272506082725056,0.17111111111111116,0.16666666666666674,-0.22475718769668696,0.3493833269192006,0.13542341408645336,0.31720469108934835,-0.15786666666666654,0.15433332774568392,0.20428929657165426,0.175603900975244,0.12373078140942244,0.013953488372091982,-0.13527302813017092,0.10679485513836454
183944,2059,1184,False,2023-04-05,0.125,0.0,0.024412468898779207,-0.040972461864768106,-0.03265168159540316,-0.15281189398836462,-0.12488652501912463,-0.4583333333333332,0.31768851303735024,0.2867883995703545,-0.05733992820769642,-0.11379038613081172,-0.04527053128528814,-0.07483773391089374,0.013120315039952228,-0.034001712038766195,-0.043946937900605505,-0.039354838709677736,-0.032504862762048725,-0.6999999999999993,-0.2731554160125588,-0.035754189944133305
237269,5448,878,True,2023-07-20,0.125,-0.3684210526315789,0.09855025009402,-0.004323312668148363,-0.09530936556945248,0.03054026819626395,-0.0026857377972297767,0.14615792262851088,0.007120590648072379,-0.016081871345029364,0.050330578512396286,-0.017588652482269734,-0.057562816250910136,-0.007581478390399215,-0.021564271844659994,-0.020839756008009164,-0.01174560431708716,0.020506912442395893,-0.0078495785606228,-0.6285714285714263,0.08321298295243056,-0.037110933758978656
247090,1184,14,True,2023-08-12,0.25,0.0,0.04405396131539346,0.030997169551386483,-0.048619107892983585,0.017271640021192566,-0.008907426747802365,-0.04255132786770372,0.07806060606060596,0.03725490196078418,-0.13888227430559233,0.011632478553517026,0.04772897505116687,0.12683722476976025,0.04929254529254517,-0.0015497415084729572,0.024901553513638437,-0.007510540249042453,-0.002428683009100158,0.008684324793748033,0.039866080646588725,-0.009305326790171231
314304,14,624,False,2024-04-07,-1.0,0.0,0.02449471057245024,-0.07493191427717714,0.15370805664581075,-0.06127405838960144,-0.04272430886065406,0.043692074900699804,-0.06862605993040788,-0.014084507042253558,0.07465732179412331,-0.06708789233061051,-0.062240205671098246,-0.15404423409853424,0.00010392161324747915,-0.03686638692899853,-0.06535617547241529,-0.026574202496531005,-0.07102327381314691,-0.19667128987517302,0.01824497212573701,-0.06986727000828964
183948,7035,2304,False,2023-04-07,-0.125,0.0,0.16185742923462482,0.0856976292265837,0.27320804128134984,-0.07742603204686614,-0.18296958172772212,0.27777777777777773,0.10021052631578936,0.14661654135338345,-0.2805905271920561,-0.008510638297872221,0.009177187417725186,0.22682438836041974,-0.0896589861751152,0.05831812153412896,0.11279727737373364,-0.027526881720430652,-0.016713493264174133,3.8000000000000007,0.1550420168067227,-0.194413407821228
318934,2059,14419,True,2024-04-26,-0.125,0.3157894736842105,0.025815164563692254,0.17741086800079583,0.19539685927355613,0.17796168147673536,-0.13593123848032687,0.27783267457180505,-0.32279368790181195,-0.13341493268053856,0.15695447295925755,0.20220646178093019,0.19705239494202864,0.2392710731116174,-0.048039660507752206,0.13965842462092917,0.16004916814845913,0.06829493087557653,0.15742793335185787,2.826190476190476,0.0871283538796229,0.13804203245544075
314301,918,5448,False,2024-04-06,-0.625,-0.15789473684210525,-0.08373648600498557,0.005984635405734411,-0.008074399826977241,-0.01834188254340414,0.0346336252623649,-0.06406122781305974,-0.010692313132027256,-0.10475219909890576,-0.13513310480092794,-0.016093645983370795,-0.03647624554642064,-0.010444772192164598,0.03340933797909405,-0.039589746833718006,-0.03326405651135373,-0.007588270841125819,0.01816510814717231,0.1199821587867973,0.11481539180557726,-0.056772933185154646
314322,17,5448,True,2024-04-22,-0.125,0.21052631578947367,-0.017783232704237182,0.06861269715087157,0.029687641931805314,0.029653194961916592,0.06590592861141602,-0.06500333451021931,0.011614435815440905,0.042565770026603555,-0.12375617260284803,0.042486343797193196,0.03569454809672937,0.10595604405954043,-0.011208981435022676,0.027380396819636825,0.04768603838640548,0.0497543193848011,0.06663753804730771,0.4764705882352942,0.08845776348964735,0.05550270681633417
282938,13188,11058,False,2023-11-02,0.0,0.3684210526315789,0.06191358899616472,0.014631200011389957,0.1854772461442211,0.051463511248793795,-0.229344478271059,-0.4608333333333333,0.2245410628019326,0.47373229785290094,-0.12745976644018864,-0.0387971316711598,-0.03075041088198424,-0.004661164941084056,0.07398438525790588,-0.05787174610721505,-0.05072624093938792,-0.047736083680783456,-0.10941594417465896,0.6893424036281175,0.1799478412054477,0.08586376822609901
