,map_id,t1,t2,winner,map,date,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,acs_diff,kills_diff,kdr_diff,kadr_diff,kast_diff,rating_diff
0,122485,6387,12477,6387,5,2023-04-12,0.24090909090909096,0.0444444444444444,0.2916666666666667,0.1795454545454545,-0.14285714285714285,59.5,1.0931818181818183,0.5049730036942314,0.5694799658994032,0.14700000000000002,0.3195000000000001
1,122486,6387,12477,6387,7,2023-04-12,0.2274647887323944,-0.28055555555555556,0.4266666666666667,0.24612676056338023,0.6071428571428572,55.06666666666666,1.1130281690140844,0.5609461853277137,0.843961883818948,0.22433333333333338,0.39516666666666644
2,147362,2593,2934,2593,0,2023-11-03,0.22135338345864664,0.10707070707070704,-0.010000000000000009,0.0028571428571428914,0.3116883116883117,55.39999999999998,0.8929323308270676,0.41824561403508775,0.724561403508772,0.12075000000000002,0.3606250000000001
3,151206,6387,4915,4915,0,2023-12-02,-0.02190476190476187,0.08028545941123993,-0.20237212750185324,-0.010476190476190472,0.03703703703703698,1.1399999999999864,0.01714285714285735,-0.05379377170080479,-0.11603369849002787,0.0015999999999998238,-0.015633333333333166
4,155135,14,5448,5448,0,2024-02-19,0.04795773216825844,-0.013095238095238076,-0.08269131997945556,0.035000291426240004,0.17647058823529405,14.375757575757547,0.20829099776468185,0.12243223394151947,0.13314945014461066,-0.009606060606060396,0.13328787878787896
5,155136,14,5448,14,6,2024-02-19,0.019100509066431015,-0.23129251700680276,-0.10856313497822934,0.10770331103538222,-0.05192307692307685,8.84423076923079,0.2219487567840468,0.14381725964327818,0.17817746252175692,0.0461538461538461,0.087298076923077
6,155137,14,5448,14,9,2024-02-19,-0.012574009644143347,0.03962703962703962,-0.13504375497215593,0.0568797813373238,0.1575757575757576,-3.5849315068492444,-0.0432613074528474,-0.0038722108272732925,-0.04746969979489091,0.021767123287671386,-0.043527397260274214
7,151603,17,4733,4733,6,2023-12-14,-0.012457912457912446,-0.1074074074074074,0.11645962732919257,0.015488215488215495,-0.16770186335403725,15.28000000000003,0.01818181818181852,0.0015143772936312416,0.06773354392158693,0.01931428571428573,0.012542857142857189
8,151604,17,4733,17,0,2023-12-14,0.043991640543364685,-0.09971509971509968,0.25375939849624063,0.03490073145245559,-0.22857142857142854,23.413333333333355,0.2262277951933127,0.09948827259877391,0.18987958910632896,0.05782222222222211,0.05662222222222213
9,151605,17,4733,17,4,2023-12-14,0.10430622009569379,-0.058570198105081794,0.3214285714285714,0.12679425837320574,0.21142857142857147,30.346666666666664,0.397129186602871,0.2630030504327898,0.4327820876109072,0.09937777777777757,0.18851111111111096
10,134574,188,2359,188,6,2023-07-22,0.09890109890109894,0.028265107212475604,0.005882352941176561,-0.05540293040293043,0.11538461538461531,9.620000000000005,0.21565934065934078,0.10394433246352808,0.21224289962863985,0.019299999999999873,0.10352500000000031
11,134575,188,2359,188,7,2023-07-22,-0.05030737704918031,-0.03595011005135734,-0.12731481481481477,-0.1214139344262295,-0.08333333333333337,-8.924999999999983,-0.17284836065573783,-0.1449011661566455,-0.2836159126623108,-0.027000000000000024,-0.09150000000000014
12,134576,188,2359,2359,8,2023-07-22,0.09742085319643068,0.14105263157894732,0.40441176470588236,0.11233345556777896,0.24583333333333335,3.8600000000000136,0.20327588314386968,0.09604499097252717,0.23538525350119555,0.05339999999999989,0.1330499999999999
13,134577,188,2359,2359,4,2023-07-22,0.03778128998268987,0.007575757575757569,-0.014671814671814665,0.07082110333408592,-0.09839816933638446,0.4066666666666663,-0.011138707006848936,-0.07349290276119536,-0.10787044933386403,-0.017799999999999927,-0.020633333333333392
14,134578,188,2359,2359,1,2023-07-22,-0.18245614035087718,-0.2222222222222222,0.25,-0.22105263157894733,-0.6666666666666666,-42.19999999999999,-1.0,-0.349041095890411,-0.4628310502283105,-0.20599999999999996,-0.42800000000000005
15,119187,2059,1184,1184,6,2023-04-05,-0.007458405048766492,0.39542483660130723,-0.10239651416122009,-0.2329317269076306,-0.40909090909090906,-13.350000000000023,-0.18818129661503136,-0.0870866222978901,-0.10976113088789141,-0.049000000000000044,-0.006750000000000256
16,119188,2059,1184,1184,4,2023-04-05,0.09268707482993194,0.08571428571428569,0.06349206349206349,0.09353741496598639,0.14285714285714285,-7.900000000000006,-0.05187074829931948,0.15878136200716852,0.3136200716845876,0.05400000000000005,0.14949999999999997
17,144297,1184,1001,1184,0,2023-10-14,0.17211673699015467,-0.03875000000000001,0.05990783410138245,0.1492616033755274,-0.08333333333333337,20.421428571428578,0.459563994374121,0.22944076460091345,0.3108731815019812,0.10342857142857143,0.20853571428571438
18,163158,14,624,624,6,2024-04-07,0.05254237288135588,0.013382314353188096,0.046963458569222793,0.09998279273853566,0.1009214567792891,7.780952380952328,0.19907080788092557,0.1980094892134332,0.22574319816146482,0.02969841269841267,0.09546031746031769
19,163159,14,624,624,1,2024-04-07,0.037228583502706636,0.061720498880716346,-0.15097402597402598,-0.0187954037792043,-0.14835164835164832,9.316363636363633,0.18396957317932072,0.0796221322537114,0.015533773705518783,0.02323636363636372,0.038172727272727025
20,144300,6882,1184,1184,4,2023-10-14,-0.04532967032967028,-0.0516806722689076,0.049107142857142905,0.010302197802197766,0.059523809523809534,-6.950000000000017,-0.1469780219780219,-0.10663463959862851,-0.20779110086589303,-0.027549999999999963,-0.08599999999999997
