map_id,t1,t2,winner,map,date,round_wr_diff,retake_wr_diff,postplant_wr_diff,fk_percent_diff,pistol_wr_diff,eco_wr_diff,antieco_wr_diff,fullbuy_wr_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff,kast_diff,rating_diff,mks_diff,clutch_diff,econ_diff
122485,6387,12477,6387,5,2023-04-12,0.2967094255437814,-0.28571428571428575,0.5,0.27340329642029354,-0.3333333333333333,0.6666666666666667,0.33333333333333337,0.4333333333333334,0.442652329749104,0.34084165093067165,-0.0661350760979594,-0.3684210526315791,0.23539641943734022,0.21689985457098437,0.36413043478260865,0.2965340179717589,0.1951219512195122,-1.0,0.44311377245508987
122486,6387,12477,6387,7,2023-04-12,0.4890597847480246,0.2562358276643991,0.4313725490196078,0.59929089804803,0.75,-0.6956521739130435,-0.6923076923076923,-0.02093397745571652,0.5839307048984468,0.5499900159280773,0.4884059845168556,-0.3868709332015484,0.32567894447498624,0.40000970151667037,0.6449275362318838,0.6208814719726141,0.6585365853658537,0.4,0.3922155688622758
147362,2593,2934,2593,0,2023-11-03,0.36122699386503065,0.16666666666666666,-0.06868686868686869,0.005728450020234791,0.3116883116883117,0.00694444444444442,-0.14393939393939392,-0.13700692562481176,0.4964157706093191,0.35240356083086044,0.5986169173666732,-0.3496537396121883,0.21748771929824562,0.31255589955280355,0.3281249999999997,0.4629332477535302,0.42073170731707316,0.2661290322580645,0.36077844311377244
155135,14,5448,5448,0,2024-02-19,0.07826231139114566,0.11904761904761904,-0.04854096520763185,0.07017409704510301,0.17647058823529405,-0.40170940170940184,-0.23188405797101447,-0.07954911433172315,0.1288150320408385,0.08220386558665484,-0.05381118567287731,-0.11076589054428393,0.06366476164959013,0.05743701770943989,-0.026103425559947026,0.1711012564671103,0.09460458240946054,-0.07500000000000001,0.143349664307748
155136,14,5448,14,6,2024-02-19,0.031170155899819935,-0.010860820595333887,0.033333333333333326,0.21594056199799366,-0.05192307692307685,-0.15384615384615374,-0.04276729559748427,-0.047954393024815474,0.07924937965260515,0.08759401973969798,0.010023627903693839,-0.12629840725757344,0.07478497501450465,0.07686086618585593,0.12541806020066903,0.11206428359830166,0.059099437148217554,-0.21445221445221452,0.10565407646245971
155137,14,5448,14,9,2024-02-19,-0.026019576561736677,-0.031984334203655373,0.02777777777777779,0.11079970175807234,0.11403508771929816,-0.004950495049504955,-0.057213930348258724,0.02966531440162285,-0.026845878136200547,-0.016470188915586055,-0.12796047790562068,-0.003971593227254138,-0.005079812206572787,-0.025555201495549386,0.0555434782608696,-0.047086007702182194,-0.09268292682926822,0.01874999999999999,-0.05616766467065842
151603,17,4733,4733,6,2023-12-14,-0.28736857325814386,-0.4074074074074074,-0.1377551020408163,-0.18766942322183108,-0.7391304347826086,0.6296296296296295,0.7096774193548387,0.12919517758227442,-0.25627240143369173,-0.24397086592932285,0.11512402135570726,0.20553118908382065,-0.1462058252427185,-0.12419062123231163,-0.1855590062111801,-0.2924995415367687,-0.29965156794425085,-0.023809523809523836,-0.12318220701454258
151604,17,4733,17,0,2023-12-14,0.2537197658839292,0.23728813559322035,0.19491525423728817,0.31172055615251865,-0.1333333333333333,0.21666666666666679,0.23684210526315785,-0.11349206349206357,0.22700119474313007,0.2648964835089873,0.32699454140872525,-0.21007856528799307,0.13597176914712458,0.18142233196596172,0.2940821256038647,0.1979746113250605,0.26558265582655827,0.5,0.17165668662674657
151605,17,4733,17,4,2023-12-14,0.11429919773478049,-0.15240641711229946,0.3746478873239436,0.12662889518413592,0.3066666666666667,-0.23684210526315796,-0.27731092436974786,-0.27966903073286054,0.4925328554360813,0.16776991554439627,0.23856822997280125,-0.18376305135307913,0.11855126351304826,0.1612857495817992,0.25754830917874383,0.16766509770360846,-0.1246612466124662,-0.09920634920634919,0.0725216234198271
134574,188,2359,188,6,2023-07-22,0.16139688532326574,0.08136645962732919,0.07979626485568758,-0.11108052122570541,0.11538461538461531,-0.06944444444444442,-0.04285714285714287,-0.08182038247397723,0.08620071684587843,0.08511184661036296,0.21951152318411551,-0.06030701754385966,0.0540510528810346,0.09155576062411915,0.05244565217391299,0.13289473684210534,0.14756097560975603,0.21862348178137653,0.03173652694610786
134575,188,2359,188,7,2023-07-22,-0.08209670119682186,0.021428571428571463,-0.12456140350877198,-0.24342977929224907,-0.08333333333333337,0.0,-0.036363636363636376,0.024482109227871876,-0.07997311827956974,-0.06821611859707159,-0.22686725335912386,0.12984545765027317,-0.07534860640145566,-0.12234411918766347,-0.07336956521739137,-0.11745827984595622,-0.2073170731707317,0.164021164021164,-0.07859281437125751
134576,188,2359,2359,8,2023-07-22,0.158981269633439,0.1551459293394777,0.08519437551695608,0.2252238050370979,0.24583333333333335,-0.24117647058823533,-0.3034055727554179,-0.04099099099099105,0.03458781362007155,0.08022460670069632,0.2843784020259159,-0.04278768520126871,0.04994339530571412,0.10153873680443729,0.1451086956521739,0.17079589216944785,0.024390243902439025,0.16666666666666663,-0.03922155688622784
134577,188,2359,2359,4,2023-07-22,0.06165535665886813,-0.0010121457489878638,-0.09523809523809523,0.14199330278951647,-0.09839816933638446,-0.08547008547008539,-0.04782608695652174,0.004298941798941784,0.0036439665471923502,-0.004395988225254921,-0.010731333187867887,0.13016185190906826,-0.038216309435821584,-0.04653235069303938,-0.0483695652173911,-0.026486949080017187,-0.021138211382113834,0.05882352941176472,-0.10538922155688635
