match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,winner,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,best_odds,worst_odds,date
189081,2908,5310,4,0,6,7,3,8,5,True,2,0,-6,-9,-8,0.7751937984496123,0.5813953488372093,2023-04-17
106451,878,918,5,2,3,1,0,8,4,True,2,1,,0,4,0.7462686567164178,0.7462686567164178,2022-06-17
155952,7511,8129,1,7,5,0,2,4,3,False,1,2,,6,4,0.4252873563218391,0.4252873563218391,2022-11-17
99611,6389,7031,8,5,0,2,3,4,1,True,2,0,,7,0,0.5714285714285714,0.5714285714285714,2022-05-13
295212,9077,5310,2,5,0,9,8,1,6,True,2,1,3,-6,-1,0.641025641025641,0.6024096385542169,2024-02-17
161216,188,2355,3,7,2,5,1,4,0,True,2,0,2,3,-2,0.8849557522123894,0.8849557522123894,2022-12-11
183777,5248,188,6,0,5,4,7,3,8,False,0,2,-4,1,2,0.5884773662551441,0.5260663507109005,2023-04-02
99081,2406,243,0,3,1,5,4,2,8,True,2,0,1,1,-4,0.8333333333333334,0.8333333333333334,2022-06-05
297841,6869,2934,2,1,5,6,9,0,8,False,0,2,-2,1,6,0.24242424242424243,0.19354838709677413,2024-02-09
297055,1033,8484,0,1,2,5,6,8,9,True,2,0,6,-2,3,0.46511627906976744,0.4115226337448559,2024-02-14
168989,11001,11329,2,0,1,3,7,4,5,True,2,1,,0,4,0.8695652173913044,0.819672131147541,2023-02-03
278907,731,11981,9,4,2,6,8,0,1,True,2,0,4,2,0,0.7352941176470588,0.7142857142857143,2023-10-14
240413,6200,9547,1,0,8,3,6,7,4,True,2,0,-3,2,6,0.4608294930875576,0.4347826086956522,2023-07-27
113638,8904,8484,0,1,4,2,5,3,8,False,1,2,,-1,-3,0.5614035087719298,0.5614035087719298,2022-07-14
70169,4330,7057,8,0,2,5,4,3,1,True,2,1,,3,3,0.0,1.0,2022-02-12
112323,533,8127,5,8,3,2,1,4,0,False,0,2,-1,6,1,0.375,0.375,2022-07-15
319773,1119,13790,9,1,0,6,5,2,8,False,0,2,,-7,-4,0.2063492063492064,0.2063492063492064,2024-04-13
284657,6665,4050,0,2,8,1,6,4,9,True,2,1,-6,5,2,0.32679738562091504,0.29850746268656714,2023-11-25
152988,2408,9559,2,3,7,0,4,5,1,True,2,1,,-1,6,0.7407407407407407,0.7407407407407407,2022-10-28
318839,3108,14634,5,8,6,2,9,1,0,True,2,0,2,8,1,0.8849557522123894,0.8695652173913044,2024-03-27
167358,8185,188,6,8,3,0,4,7,5,True,2,1,-1,7,5,0.45248868778280543,0.45248868778280543,2023-02-18
130134,9375,9559,5,4,7,3,1,2,0,False,1,2,2,5,2,0.5283018867924529,0.5283018867924529,2022-08-18
64802,6718,8022,2,1,3,5,8,4,0,True,2,0,,2,6,0.0,1.0,2022-02-12
51275,2355,2406,5,2,1,8,3,0,4,True,2,1,,2,7,0.6666666666666666,0.40322580645161293,2021-12-05
314635,188,6961,2,0,8,9,1,5,6,True,2,1,-1,-1,-1,0.4,0.3597122302158274,2024-04-20
184047,2059,2593,3,0,7,8,1,4,6,False,0,2,-2,-2,9,0.1071428571428572,0.07407407407407418,2023-05-03
296993,14467,7403,0,8,9,1,6,5,2,True,2,1,,7,-2,0.7352941176470588,0.7092198581560284,2024-03-02
69911,8112,797,8,3,5,4,2,0,1,False,0,2,,1,4,0.0,1.0,2022-02-10
220453,1034,624,3,0,4,8,7,6,1,False,1,2,,3,4,0.6644295302013423,0.6,2023-06-21
187108,6869,11490,5,8,3,7,4,6,0,True,2,0,,-4,6,0.9433962264150942,0.9433962264150942,2023-03-28
69761,7318,1319,1,3,2,8,5,4,0,True,2,1,2,2,-6,0.7633587786259541,0.7633587786259541,2022-02-13
296982,10417,12679,8,1,0,2,6,5,9,True,2,1,5,6,0,0.6896551724137931,0.6896551724137931,2024-02-03
49486,1034,4940,1,8,4,3,5,0,2,False,0,2,,8,5,0.6389891696750902,0.596774193548387,2021-11-14
232915,367,11195,0,6,1,7,3,4,8,False,0,2,,8,0,0.504950495049505,0.41860465116279066,2023-06-30
155947,9516,7055,7,1,3,4,0,5,2,False,1,2,,5,7,0.09090909090909094,0.09090909090909094,2022-11-16
70298,6946,581,4,8,5,0,2,1,3,True,2,0,,5,-2,0.591715976331361,0.5780346820809249,2022-03-12
161330,3351,10596,5,2,2,1,4,0,7,True,2,0,,0,0,0.0,1.0,2022-12-09
179499,4094,11002,6,7,4,8,5,3,0,False,1,2,1,3,-4,0.0,1.0,2023-03-12
342975,9042,14529,8,6,2,9,5,0,1,False,0,2,-2,-5,1,0.3421052631578947,0.3421052631578947,2024-05-07
324700,8904,8484,9,0,2,8,6,5,1,False,0,2,4,-4,-8,0.2957746478873239,0.2857142857142857,2024-04-03
99495,724,7269,3,4,2,8,5,1,0,True,2,1,3,4,5,0.6756756756756757,0.6756756756756757,2022-06-03
201254,12391,11060,3,5,4,6,0,8,7,False,1,2,,-6,-5,0.0,1.0,2023-05-02
121826,6149,3347,0,2,8,3,1,4,5,True,2,1,1,8,5,0.8403361344537815,0.8403361344537815,2022-08-02
214829,466,11293,3,1,4,6,7,0,8,False,0,2,4,10,0,0.8432601880877743,0.8130841121495327,2023-06-02
314896,11001,106,9,8,1,0,6,5,2,True,2,0,3,2,-4,0.8264462809917356,0.7936507936507936,2024-03-20
216301,11275,4330,3,8,6,0,4,7,1,False,0,2,-2,3,7,0.0,1.0,2023-05-26
248281,6961,1120,6,7,3,8,1,0,4,True,2,1,-2,3,1,0.7246376811594204,0.6578947368421053,2023-08-20
295195,4669,6132,1,5,9,2,6,0,8,False,1,2,5,-2,-1,0.6336996336996337,0.5833333333333333,2024-01-27
324715,8904,13368,9,8,2,1,6,5,0,False,0,2,-2,-5,1,0.09090909090909094,0.07407407407407418,2024-04-30
202375,8928,3108,0,7,3,6,5,4,8,False,0,2,0,-6,6,0.06542056074766356,0.03846153846153855,2023-04-28
99535,3108,7915,8,4,5,0,2,3,1,True,2,0,2,6,-6,0.8403361344537815,0.8403361344537815,2022-05-22
123045,6199,1208,1,4,3,8,5,0,2,True,2,1,,-2,6,0.641025641025641,0.641025641025641,2022-08-05
108006,2359,724,3,0,2,8,1,5,4,True,2,0,1,0,1,0.6711409395973155,0.6711409395973155,2022-06-24
213123,4050,7397,0,3,7,1,8,4,6,True,2,0,-3,5,1,0.7462686567164178,0.6535947712418301,2023-06-02
85525,624,8185,3,8,2,5,4,1,0,False,1,2,-4,8,10,0.736842105263158,0.25373134328358216,2022-04-15
196162,9353,11836,8,7,3,6,1,0,4,True,2,0,2,-2,0,0.5128205128205129,0.4807692307692307,2023-05-17
161040,10603,10605,7,5,2,3,0,1,4,True,2,1,,3,3,0.0,1.0,2022-12-08
204051,799,1033,3,4,8,7,1,6,0,False,0,2,7,-4,-2,0.6240601503759399,0.6078431372549019,2023-05-17
102843,623,4210,5,8,0,2,1,3,4,False,0,2,0,0,3,0.5215311004784688,0.5215311004784688,2022-05-26
314917,13920,13232,1,2,0,5,9,8,6,True,2,0,2,0,-6,0.684931506849315,0.6578947368421053,2024-04-10
195699,799,4733,0,6,3,5,8,7,4,False,1,2,10,6,2,0.8601398601398602,0.8069498069498069,2023-04-17
189078,4669,5310,6,7,3,0,5,4,8,True,2,0,0,2,-4,0.7874015748031495,0.7407407407407407,2023-04-15
314622,188,2359,2,1,8,6,5,9,0,True,2,1,0,-4,4,0.29411764705882354,0.21551724137931036,2024-04-06
281432,11836,11201,4,0,8,1,6,2,9,True,2,0,,5,8,0.0,1.0,2023-10-22
220075,11273,10149,3,0,6,1,7,4,8,True,2,1,,-3,7,0.0,1.0,2023-06-01
204428,1211,11985,1,3,8,0,6,7,4,True,2,1,2,-1,3,0.0,1.0,2023-05-12
106449,1110,918,5,8,2,4,3,1,0,True,2,0,1,2,5,0.6535947712418301,0.6535947712418301,2022-06-15
202377,10597,10598,3,1,4,8,0,6,7,True,2,1,,10,2,0.8928571428571428,0.8849557522123894,2023-05-02
163377,6387,8369,1,5,3,0,2,4,7,True,2,1,1,3,-4,0.9345794392523364,0.9345794392523364,2022-12-23
167044,4894,11195,6,3,0,8,7,4,5,True,2,1,,-1,-2,0.6578947368421053,0.6578947368421053,2023-02-20
284418,4050,1485,2,4,9,6,8,1,0,True,2,0,6,6,1,0.9523809523809523,0.9523809523809523,2023-11-06
167026,11195,9447,5,1,0,7,2,3,4,False,1,2,,0,9,0.6753246753246753,0.6753246753246753,2023-01-19
51294,3531,474,4,2,3,5,1,8,0,True,2,0,-2,6,9,0.37037037037037035,0.3676470588235294,2021-12-11
165590,2908,4669,6,3,7,8,4,0,5,False,1,2,-2,-8,-3,0.4011976047904191,0.4011976047904191,2023-03-01
314929,15011,14822,5,9,0,8,6,1,2,False,1,2,,-1,-5,0.6168582375478927,0.5238095238095238,2024-04-18
