id,linkname,fullname,abbrev,secondary_id
14656,spot-gaming,SPOT GAMING,SPOT
14651,n-is-n-o-migo,NÓIS NÃO É MIGO,MIGO
14048,boomba-rosa,BOOMBA ROSA,ROSA
14655,orquestra-do-maestro,Orquestra do Maestro,ODM
14546,mqb-friends,MQB friends,MQB
14657,kampus,Kampus,KPM
12653,insanity,insanity
14658,donzelas-bebadas,Donzelas Bebadas,DON
14653,corinthians-elite-gaming,Corinthians Elite Gaming,CEG
14467,sweetnsour,SweetNsour,SNS
12679,apinaorkesteri,apinaorkesteri,APE
11479,apeks,Apeks,APK
6400,human-tripwires,Human Tripwires,HTW
12489,metizport,Metizport,MZP
7403,who-cars,who cars?,WHO
10417,formulation-gaming,Formulation Gaming,FMG
7932,onlyfins,OnlyFins,OF
13224,nxt,NXT
14482,max-win,MAX WIN
14488,arma-dominium,Arma Dominium
14480,uhka-esports,UHKA Esports,UHKA
14486,heat-esports,HEAT eSports,HEAT
14481,vanir,Vanir,VNR
14487,verdantx,VerdantX,VDX
14483,reborned,REBORNED
14484,hl-tauri-esports,HL Tauri Esports,HLT
14485,blandsaft,Blandsaft
10646,gg-go-next,GG Go Next
14491,overcooked,Overcooked
14492,bristol-bagres,bristol bagres
14490,friends,friends
14489,beserkrs,Beserkrs
14366,zerozen,ZeroZen
14369,flame-hard,Flame Hard,FH
14370,champions-2024,Champions 2024
12485,yari-esports,Yari Esports,YARI
11267,ctrl-esports,CTRL Esports,CTRL
14495,freebird,FreeBird
10149,k10,K10
4960,unjobbed,unjobbed
14494,anitax,Anitax
14497,fellas-in-paris,Fellas in Paris
14493,5am,5AM
5769,lancers,Lancers
14498,c4-mist-academy,C4 Mist (Academy),C4
14499,black-air-force-energy,Black Air Force Energy
14496,surely-tragic-revived,Surely Tragic Revived
14502,eternals,Eternals
14503,ferox,Ferox
14500,missing-in-action,Missing In Action,MIA
14501,pritong-manok,Pritong Manok
14505,rainys-kittens,Rainy's Kittens
14382,vexed-dev,Vexed.dev,VEX.D
14504,rey-esports,REY eSports,REY
14371,19rr,-19RR
14274,ruddy,Ruddy,RUD
14507,kage,Kage
13112,lost-puppies,Lost Puppies,LP
14510,e-wolves,E-WOLVES
13423,sk-l-vendetta,SKÅL Vendetta,SVN
14509,overheat,Overheat
14514,jokers,JOKERS
14372,oot-esports,OOT Esports
14339,vision-esports,Vision Esports
14511,mania,Mania
4699,skelp-esports,Skelp Esports
14517,titan-g,Titan G
14512,azure,Azure
14513,goodfornothing,GoodForNothing
12355,bitfix-gaming,Bitfix Gaming,BFG
14516,kibbets-jibbles,Kibbets Jibbles
14775,paragon,Paragon
14518,brx,brx
14515,team-prolific,Team Prolific
14519,anita-max-wynn,Anita Max Wynn
14521,ippo,IPPO
14520,bongo-cats,bongo cats
14524,oasis-verde,Oasis Verde
14522,life-purpose,Life Purpose
14525,bratan-mix,BRATAN MIX
14523,requiem,Requiem,RQM
12855,wizard-esports,Wizard Esports,WIZ
14318,dvm-esport,DVM Esport,DVM
13650,family,FAMILY,FMLY
12514,solary,Solary,SLY
15010,monaco-esports,Monaco Esports,MNC
12256,akroma,Akroma,AKR
9559,zerance,Zerance,ZER
7967,mandatory,Mandatory,MDR
11232,joblife,Joblife,JL
10188,valiant,VALIANT,VLNT
14478,eintracht-frankfurt,Eintracht Frankfurt,SGE
14479,sk-gaming,SK Gaming,SK
8044,mouz,MOUZ,MOUZ
7038,unicorns-of-love,Unicorns of Love,UOL
8826,alternate-attax,ALTERNATE aTTaX,ATN
8380,divizon,DIVIZON,DIV
6882,fokus,FOKUS,FKS
4173,ovation-esports,Ovation eSports,OVA
5214,cgn-esports,CGN Esports,CGN
5091,rizon,RIZON,RZN
14533,silly-goobers,Silly Goobers
14538,kopfshootaz,KOPFSHOOTAZ
14530,bald-buff,Bald Buff
14528,404-multigaming-e-v,404 Multigaming e.V.
14529,xperion-nxt,Xperion NXT,NXT
14532,chipi-chipi-chapa-chapa-dubi-dubi-daba-daba-magica,CHIPI CHIPI CHAPA CHAPA DUBI DUBI DABA DABA MAGICA
14535,vanguards,Vanguards
14531,swift-gaming,Swift Gaming
14540,m-nner-wie-wir,MÄNNER WIE WIR
12261,inf-esports,INF Esports,INF
14541,carpe-diem,Carpe Diem
13784,rejects,Rejects
14534,danger,Danger
14537,baiters,Baiters
13224,nxt,NXT
14536,irregulars,Irregulars
13786,qvg-esports,qvG eSports
14542,bobers,Bobers
14539,mdujsanwfausikm,MDUJSANWFAUSIKM
12463,veni-esports,Veni eSports,VENI
12834,origami-team,Origami Team,ORT
9070,ghr-e-sports,GHR E-Sports,GHR
3531,acend,Acend,ACE
14429,chipi-chapas,Chipi Chapa's,CHCH
12474,gonext-esports,GoNext Esports,GN
8049,diamant-esports,Diamant Esports,DIA
7243,b8-esports,B8 Esports,B8
8996,esc-gaming,ESC Gaming,ESC
6235,incognito,Incognito,INCO
8946,zero-tenacity,Zero Tenacity,Z10
6191,nom-esports,NOM Esports,NOM
876,enterprise-esports,Enterprise Esports,EP
14424,bobrs-supremacy,bobrs supremacy
14423,last-dance,last dance
9054,auristralis,Auristralis
14429,chipi-chapas,Chipi Chapa's,CHCH
14427,yara-mi-lala,yara mi lala
14426,extreme-esports,eXtreme Esports
14425,ffxd,FFXD
13254,szypko,Szypko
14432,team-what-the-f,Team What the f
14433,baltic-boys,Baltic boys
14428,piyana-vishnya,Piyana Vishnya
14434,hopers,hopers
14430,demury1,DEMURY1
12124,dylynyosok,dylynyosok
11237,duplaw,duplaw
14431,zwala,zwala
9071,evoplay,EVOPLAY
7015,sunnybeach,SunnyBeach
14491,overcooked,Overcooked
12958,sila4i,Sila4i,S4
14435,vultures,Vultures
14441,oksykodony,oksykodony
14437,hmm,Hmm
13239,707,707
9621,trashcan,trashcan
14438,0losestreak,0LoseStreak
14442,frogstars,FroGstars
14440,mrvzt,MRVZT
14445,lph,LPH
14439,just-push,JUST PUSH
14443,kobass,kobass
4611,team-hz,Team hz
14446,prettymonkeys,PrettyMonkeys
4519,purpure,PURPURE
14444,the-great-gang,The great gang
3050,hub-esport,Hub Esport
14447,spongebob,Spongebob
9650,landodgers,LANDODGERS
14448,tenjiku,Tenjiku
14476,elevate,ELEVATE,ELV
13795,ftw-le-a-fc-esports,FTW Leça FC Esports,FXL
13797,hurricane-of-feathers,Hurricane Of Feathers,HOF
9814,fuzos,FUZOS,FUZO
9011,impulse-gw,Impulse GW,IGW
7105,ex0tik-gaming,EX0TIK GAMING,EX0
9762,gtz-esports,GTZ Esports,GTZ
2755,saw,SAW,SAW
11490,murash-gaming,Murash Gaming,MRSH
11229,varrel,VARREL,VL
2988,northeption,NORTHEPTION,NTH
2934,fennel,FENNEL,FL
283,sengoku-gaming,Sengoku Gaming,SG
104,reject,REJECT,RC
12446,slt-seongnam,SLT Seongnam,SLT
14565,sherpa,SHERPA,SRP
14599,iam,IAM,IAM
14590,lfg-portal,LFG Portal,LFG
11060,nongshim-redforce,Nongshim RedForce,NS
11348,dplus-esports,Dplus Esports,DK
8086,maru-gaming,Maru Gaming,MARU
8182,incheon-on-sla2ers,Incheon On Sla2ers,ONS
15746,vec-daejeon,VEC DAEJEON,VEC
14599,iam,IAM,IAM
15744,fearx,FearX,FOX
15747,superfect-esports-academy,Superfect Esports Academy
14422,sin-prisa-gaming,Sin Prisa Gaming,SPG
12446,slt-seongnam,SLT Seongnam,SLT
11348,dplus-esports,Dplus Esports,DK
11060,nongshim-redforce,Nongshim RedForce,NS
11348,dplus-esports,Dplus Esports,DK
11708,op-gg-sports,OP.GG SPORTS,OPGG
11060,nongshim-redforce,Nongshim RedForce,NS
8086,maru-gaming,Maru Gaming,MARU
11707,gwangju-shadow,Gwangju Shadow,GJS
8099,cnj-esports,CNJ Esports,CNJ
2554,world-game-star,World Game Star,WGS
3945,rio-company,Rio Company,RIO
11276,rapid-lofi,Rapid Lofi,RLF
11275,lazy,LAZY
14277,team-flash,Team Flash,FPT
15016,t-n-d-esports,Tàn Dư Esports,TDE
14007,crocodile-tears,Crocodile Tears,TEAR
15015,kobiet,KOBIET,KOBI
4860,dominus-esports,Dominus Esports,DOMS
4330,fancy-united-esports,Fancy United Esports,FCY
3108,oblivion-force,Oblivion Force,OF
8929,hungkuang-falcon,Hungkuang Falcon,HKUF
14636,yuanyoyin,yuanyoyin,YYY
14634,pei-wan-e-sports,PEI WAN E-SPORTS,PWE
10597,one-team-esports,ONE Team Esports,ONE
8303,s2-esports,S2 Esports,S2
10592,roa-esport,ROA Esport,ROA
6397,five-ace-esports,Five Ace Esports,FA
14819,carnival-gaming,Carnival Gaming,CG
13368,grayfox-esports,Grayfox Esports,GRY
8369,revenant-esports,Revenant Esports,RVNT
8030,mlt-esports,MLT Esports,MLT
8484,medal-esports,Medal Esports,MDL
4733,true-rippers,True Rippers,TRS
8904,orangutan,Orangutan,OGS
